x,phi,rho,ef,ndi,nde
0,0,0,0,9.09255e+14,1.49209e+14
0.0025,0,0,-0,1.01921e+15,1.34041e+14
0.005,0,0,-0,9.99997e+14,1.27493e+14
0.0075,0,0,-0,1.00119e+15,1.24529e+14
0.01,0,0,-0,9.88662e+14,1.24977e+14
0.0125,0,0,-0,9.95655e+14,1.24121e+14
0.015,0,0,-0,1.02053e+15,1.24425e+14
0.0175,0,0,-0,1.02743e+15,1.25823e+14
0.02,0,0,-0,9.94173e+14,1.37107e+14
0.0225,0,0,-0,9.91263e+14,1.37351e+14
0.025,0,0,-0,9.92813e+14,1.36453e+14
0.0275,0,0,-0,1.01077e+15,1.26134e+14
0.03,0,0,-0,9.88826e+14,1.24377e+14
0.0325,0,0,-0,9.73468e+14,1.34836e+14
0.035,0,0,-0,9.70941e+14,1.32755e+14
0.0375,0,0,-0,9.8677e+14,1.30183e+14
0.04,0,0,-0,1.00805e+15,1.33853e+14
0.0425,0,0,-0,1.01783e+15,1.3479e+14
0.045,0,0,-0,9.96359e+14,1.33153e+14
0.0475,0,0,-0,1.01419e+15,1.37861e+14
0.05,0,0,-0,1.02534e+15,1.3963e+14
0.0525,0,0,-0,9.89921e+14,1.36576e+14
0.055,0,0,-0,1.00651e+15,1.28819e+14
0.0575,0,0,-0,9.96977e+14,1.35898e+14
0.06,0,0,-0,9.87681e+14,1.31982e+14
0.0625,0,0,-0,9.81282e+14,1.38244e+14
0.065,0,0,-0,1.00028e+15,1.35274e+14
0.0675,0,0,-0,9.77341e+14,1.28508e+14
0.07,0,0,-0,9.82662e+14,1.35034e+14
0.0725,0,0,-0,1.01405e+15,1.29327e+14
0.075,0,0,-0,9.90353e+14,1.3199e+14
0.0775,0,0,-0,1.03528e+15,1.32783e+14
0.08,0,0,-0,1.01041e+15,1.37476e+14
0.0825,0,0,-0,1.00936e+15,1.2627e+14
0.085,0,0,-0,9.71025e+14,1.34053e+14
0.0875,0,0,-0,9.93969e+14,1.33916e+14
0.09,0,0,-0,1.00649e+15,1.27852e+14
0.0925,0,0,-0,9.8482e+14,1.22083e+14
0.095,0,0,-0,1.00567e+15,1.28307e+14
0.0975,0,0,-0,1.01856e+15,1.34572e+14
0.1,0,0,0,9.39329e+14,1.36288e+14
