x,phi,rho,ef,ndi,nde
0,0,0,0,9.92528e+14,5.5507e+14
0.0025,0,0,-0,1.02312e+15,6.57126e+14
0.005,0,0,-0,9.96985e+14,8.22411e+14
0.0075,0,0,-0,1.00113e+15,9.43773e+14
0.01,0,0,-0,9.92256e+14,9.80964e+14
0.0125,0,0,-0,9.96782e+14,9.96712e+14
0.015,0,0,-0,1.01864e+15,1.02041e+15
0.0175,0,0,-0,1.02388e+15,9.81741e+14
0.02,0,0,-0,1.00052e+15,9.94035e+14
0.0225,0,0,-0,9.89541e+14,1.00987e+15
0.025,0,0,-0,9.87709e+14,9.99979e+14
0.0275,0,0,-0,1.0137e+15,1.00791e+15
0.03,0,0,-0,9.89344e+14,9.99608e+14
0.0325,0,0,-0,9.70276e+14,9.95578e+14
0.035,0,0,-0,9.71476e+14,9.88419e+14
0.0375,0,0,-0,9.88065e+14,9.67916e+14
0.04,0,0,-0,1.00771e+15,9.60448e+14
0.0425,0,0,-0,1.01801e+15,1.00334e+15
0.045,0,0,-0,9.97349e+14,1.02314e+15
0.0475,0,0,-0,1.01396e+15,9.88933e+14
0.05,0,0,-0,1.02394e+15,1.00528e+15
0.0525,0,0,-0,9.87484e+14,1.01347e+15
0.055,0,0,-0,1.00579e+15,9.73114e+14
0.0575,0,0,-0,1.00232e+15,9.86178e+14
0.06,0,0,-0,9.85246e+14,1.01054e+15
0.0625,0,0,-0,9.84009e+14,9.98617e+14
0.065,0,0,-0,9.96291e+14,1.01017e+15
0.0675,0,0,-0,9.81559e+14,1.00303e+15
0.07,0,0,-0,9.83435e+14,1.00711e+15
0.0725,0,0,-0,1.01096e+15,9.77071e+14
0.075,0,0,-0,9.92939e+14,9.51876e+14
0.0775,0,0,-0,1.03091e+15,1.00167e+15
0.08,0,0,-0,1.01338e+15,1.00549e+15
0.0825,0,0,-0,1.00784e+15,1.00593e+15
0.085,0,0,-0,9.72833e+14,1.0141e+15
0.0875,0,0,-0,9.93428e+14,1.0124e+15
0.09,0,0,-0,1.0034e+15,1.02818e+15
0.0925,0,0,-0,9.85121e+14,9.63532e+14
0.095,0,0,-0,1.00721e+15,8.28964e+14
0.0975,0,0,-0,1.02257e+15,6.72481e+14
0.1,0,0,0,1.02119e+15,5.53927e+14
