x,phi,rho,ef,ndi,nde
0,0,0,0,9.48978e+14,2.3451e+14
0.0025,0,0,-0,1.022e+15,2.43855e+14
0.005,0,0,-0,9.98485e+14,2.34906e+14
0.0075,0,0,-0,1.00097e+15,2.2807e+14
0.01,0,0,-0,9.90384e+14,2.28612e+14
0.0125,0,0,-0,9.96056e+14,2.25897e+14
0.015,0,0,-0,1.02022e+15,2.34649e+14
0.0175,0,0,-0,1.0254e+15,2.40551e+14
0.02,0,0,-0,9.97003e+14,2.32593e+14
0.0225,0,0,-0,9.90704e+14,2.34166e+14
0.025,0,0,-0,9.90413e+14,2.34577e+14
0.0275,0,0,-0,1.01224e+15,2.2586e+14
0.03,0,0,-0,9.8884e+14,2.30142e+14
0.0325,0,0,-0,9.72232e+14,2.35615e+14
0.035,0,0,-0,9.70854e+14,2.37319e+14
0.0375,0,0,-0,9.87609e+14,2.34993e+14
0.04,0,0,-0,1.00775e+15,2.3404e+14
0.0425,0,0,-0,1.01816e+15,2.24894e+14
0.045,0,0,-0,9.9636e+14,2.33627e+14
0.0475,0,0,-0,1.01439e+15,2.3548e+14
0.05,0,0,-0,1.02499e+15,2.36552e+14
0.0525,0,0,-0,9.88353e+14,2.54662e+14
0.055,0,0,-0,1.00653e+15,2.3875e+14
0.0575,0,0,-0,9.99024e+14,2.39149e+14
0.06,0,0,-0,9.87083e+14,2.5492e+14
0.0625,0,0,-0,9.81887e+14,2.50417e+14
0.065,0,0,-0,9.9866e+14,2.41822e+14
0.0675,0,0,-0,9.79321e+14,2.32666e+14
0.07,0,0,-0,9.83154e+14,2.45045e+14
0.0725,0,0,-0,1.01287e+15,2.28692e+14
0.075,0,0,-0,9.90762e+14,2.21671e+14
0.0775,0,0,-0,1.03402e+15,2.39776e+14
0.08,0,0,-0,1.01147e+15,2.33326e+14
0.0825,0,0,-0,1.0088e+15,2.34669e+14
0.085,0,0,-0,9.71848e+14,2.36013e+14
0.0875,0,0,-0,9.93487e+14,2.2948e+14
0.09,0,0,-0,1.0053e+15,2.25181e+14
0.0925,0,0,-0,9.84859e+14,2.19715e+14
0.095,0,0,-0,1.00636e+15,2.34654e+14
0.0975,0,0,-0,1.02114e+15,2.27989e+14
0.1,0,0,0,9.74296e+14,2.227e+14
