x,phi,rho,ef,ndi,nde
0,0,0,0,9.49703e+14,2.30739e+14
0.0025,0,0,-0,1.02207e+15,2.44036e+14
0.005,0,0,-0,9.98439e+14,2.45711e+14
0.0075,0,0,-0,1.00096e+15,2.45367e+14
0.01,0,0,-0,9.90456e+14,2.33227e+14
0.0125,0,0,-0,9.96079e+14,2.39784e+14
0.015,0,0,-0,1.02018e+15,2.26669e+14
0.0175,0,0,-0,1.02532e+15,2.52741e+14
0.02,0,0,-0,9.97135e+14,2.41404e+14
0.0225,0,0,-0,9.90661e+14,2.3899e+14
0.025,0,0,-0,9.90334e+14,2.54033e+14
0.0275,0,0,-0,1.01229e+15,2.31719e+14
0.03,0,0,-0,9.8883e+14,2.31949e+14
0.0325,0,0,-0,9.7221e+14,2.41657e+14
0.035,0,0,-0,9.70842e+14,2.43912e+14
0.0375,0,0,-0,9.87645e+14,2.46924e+14
0.04,0,0,-0,1.00772e+15,2.41341e+14
0.0425,0,0,-0,1.01816e+15,2.37838e+14
0.045,0,0,-0,9.96386e+14,2.34792e+14
0.0475,0,0,-0,1.01439e+15,2.43142e+14
0.05,0,0,-0,1.02494e+15,2.41661e+14
0.0525,0,0,-0,9.88326e+14,2.61069e+14
0.055,0,0,-0,1.00651e+15,2.44983e+14
0.0575,0,0,-0,9.99123e+14,2.52678e+14
0.06,0,0,-0,9.87037e+14,2.52936e+14
0.0625,0,0,-0,9.81932e+14,2.67602e+14
0.065,0,0,-0,9.98597e+14,2.46653e+14
0.0675,0,0,-0,9.79402e+14,2.41664e+14
0.07,0,0,-0,9.83143e+14,2.53585e+14
0.0725,0,0,-0,1.01283e+15,2.30061e+14
0.075,0,0,-0,9.90803e+14,2.29768e+14
0.0775,0,0,-0,1.03393e+15,2.46614e+14
0.08,0,0,-0,1.01155e+15,2.48353e+14
0.0825,0,0,-0,1.00876e+15,2.42675e+14
0.085,0,0,-0,9.71882e+14,2.35675e+14
0.0875,0,0,-0,9.93486e+14,2.37725e+14
0.09,0,0,-0,1.00522e+15,2.24257e+14
0.0925,0,0,-0,9.84876e+14,2.32124e+14
0.095,0,0,-0,1.00638e+15,2.42091e+14
0.0975,0,0,-0,1.02121e+15,2.32414e+14
0.1,0,0,0,9.74981e+14,2.11215e+14
