x,phi,rho,ef,ndi,nde
0,0,0,0,8.93414e+14,1.10463e+14
0.0025,0,0,-0,1.01739e+15,1.11672e+14
0.005,0,0,-0,1.00093e+15,1.02454e+14
0.0075,0,0,-0,1.001e+15,1.08425e+14
0.01,0,0,-0,9.88011e+14,1.08745e+14
0.0125,0,0,-0,9.95505e+14,1.0511e+14
0.015,0,0,-0,1.02054e+15,1.2002e+14
0.0175,0,0,-0,1.02837e+15,1.08297e+14
0.02,0,0,-0,9.92981e+14,1.02361e+14
0.0225,0,0,-0,9.91522e+14,1.08014e+14
0.025,0,0,-0,9.93927e+14,1.11475e+14
0.0275,0,0,-0,1.0098e+15,1.03521e+14
0.03,0,0,-0,9.8924e+14,1.054e+14
0.0325,0,0,-0,9.73746e+14,1.11369e+14
0.035,0,0,-0,9.7122e+14,1.09352e+14
0.0375,0,0,-0,9.8637e+14,1.16783e+14
0.04,0,0,-0,1.00795e+15,1.12834e+14
0.0425,0,0,-0,1.01776e+15,1.03937e+14
0.045,0,0,-0,9.96719e+14,1.07209e+14
0.0475,0,0,-0,1.01367e+15,1.1344e+14
0.05,0,0,-0,1.02541e+15,1.12113e+14
0.0525,0,0,-0,9.91171e+14,1.09548e+14
0.055,0,0,-0,1.00603e+15,9.97617e+13
0.0575,0,0,-0,9.9632e+14,1.10297e+14
0.06,0,0,-0,9.87738e+14,1.20376e+14
0.0625,0,0,-0,9.81221e+14,1.13612e+14
0.065,0,0,-0,1.00073e+15,1.14551e+14
0.0675,0,0,-0,9.76699e+14,1.1541e+14
0.07,0,0,-0,9.82282e+14,1.12068e+14
0.0725,0,0,-0,1.01459e+15,1.09285e+14
0.075,0,0,-0,9.90362e+14,1.03771e+14
0.0775,0,0,-0,1.03567e+15,1.03993e+14
0.08,0,0,-0,1.00996e+15,1.0629e+14
0.0825,0,0,-0,1.0095e+15,1.02274e+14
0.085,0,0,-0,9.70732e+14,1.10737e+14
0.0875,0,0,-0,9.94503e+14,1.12359e+14
0.09,0,0,-0,1.00659e+15,1.10969e+14
0.0925,0,0,-0,9.85086e+14,1.12935e+14
0.095,0,0,-0,1.00529e+15,1.18851e+14
0.0975,0,0,-0,1.01676e+15,1.09545e+14
0.1,0,0,0,9.21586e+14,1.12008e+14
