x,phi,rho,ef,ndi,nde
0,0,0,0,9.25936e+14,1.47089e+14
0.0025,0,0,-0,1.02048e+15,1.59747e+14
0.005,0,0,-0,9.99381e+14,1.63186e+14
0.0075,0,0,-0,1.00117e+15,1.66822e+14
0.01,0,0,-0,9.89346e+14,1.58156e+14
0.0125,0,0,-0,9.95714e+14,1.54453e+14
0.015,0,0,-0,1.02055e+15,1.57004e+14
0.0175,0,0,-0,1.02654e+15,1.5559e+14
0.02,0,0,-0,9.95198e+14,1.52438e+14
0.0225,0,0,-0,9.91261e+14,1.55567e+14
0.025,0,0,-0,9.91629e+14,1.52425e+14
0.0275,0,0,-0,1.01156e+15,1.62895e+14
0.03,0,0,-0,9.88735e+14,1.61162e+14
0.0325,0,0,-0,9.7289e+14,1.50797e+14
0.035,0,0,-0,9.71034e+14,1.63445e+14
0.0375,0,0,-0,9.86994e+14,1.57046e+14
0.04,0,0,-0,1.00803e+15,1.64187e+14
0.0425,0,0,-0,1.01796e+15,1.67758e+14
0.045,0,0,-0,9.96229e+14,1.66585e+14
0.0475,0,0,-0,1.01438e+15,1.76454e+14
0.05,0,0,-0,1.02532e+15,1.64994e+14
0.0525,0,0,-0,9.89041e+14,1.64737e+14
0.055,0,0,-0,1.00665e+15,1.70182e+14
0.0575,0,0,-0,9.97697e+14,1.55786e+14
0.06,0,0,-0,9.87592e+14,1.61696e+14
0.0625,0,0,-0,9.81412e+14,1.71378e+14
0.065,0,0,-0,9.99637e+14,1.65834e+14
0.0675,0,0,-0,9.78169e+14,1.65341e+14
0.07,0,0,-0,9.829e+14,1.60588e+14
0.0725,0,0,-0,1.01354e+15,1.57007e+14
0.075,0,0,-0,9.90455e+14,1.60214e+14
0.0775,0,0,-0,1.03496e+15,1.56371e+14
0.08,0,0,-0,1.0106e+15,1.54007e+14
0.0825,0,0,-0,1.00928e+15,1.58104e+14
0.085,0,0,-0,9.71333e+14,1.73701e+14
0.0875,0,0,-0,9.93672e+14,1.61899e+14
0.09,0,0,-0,1.00615e+15,1.58349e+14
0.0925,0,0,-0,9.8473e+14,1.69771e+14
0.095,0,0,-0,1.00601e+15,1.58819e+14
0.0975,0,0,-0,1.01975e+15,1.59967e+14
0.1,0,0,0,9.52492e+14,1.50386e+14
