x,phi,rho,ef,ndi,nde
0,0,0,0,8.86978e+14,9.85806e+13
0.0025,0,0,-0,1.01636e+15,9.75029e+13
0.005,0,0,-0,1.00138e+15,9.95717e+13
0.0075,0,0,-0,1.00096e+15,1.0006e+14
0.01,0,0,-0,9.87564e+14,1.05783e+14
0.0125,0,0,-0,9.95406e+14,1.00648e+14
0.015,0,0,-0,1.02062e+15,9.33192e+13
0.0175,0,0,-0,1.02884e+15,9.61172e+13
0.02,0,0,-0,9.92276e+14,9.98323e+13
0.0225,0,0,-0,9.9178e+14,8.98204e+13
0.025,0,0,-0,9.94436e+14,1.04731e+14
0.0275,0,0,-0,1.00934e+15,9.82635e+13
0.03,0,0,-0,9.89406e+14,1.05511e+14
0.0325,0,0,-0,9.73989e+14,9.80277e+13
0.035,0,0,-0,9.714e+14,1.0116e+14
0.0375,0,0,-0,9.86065e+14,9.717e+13
0.04,0,0,-0,1.00784e+15,1.0324e+14
0.0425,0,0,-0,1.01782e+15,1.00742e+14
0.045,0,0,-0,9.96965e+14,1.01407e+14
0.0475,0,0,-0,1.01327e+15,9.6478e+13
0.05,0,0,-0,1.02548e+15,1.00499e+14
0.0525,0,0,-0,9.91825e+14,1.04452e+14
0.055,0,0,-0,1.00578e+15,9.52461e+13
0.0575,0,0,-0,9.95999e+14,9.78763e+13
0.06,0,0,-0,9.87798e+14,1.01942e+14
0.0625,0,0,-0,9.81171e+14,1.0572e+14
0.065,0,0,-0,1.00092e+15,1.06956e+14
0.0675,0,0,-0,9.76391e+14,1.0394e+14
0.07,0,0,-0,9.82067e+14,1.00224e+14
0.0725,0,0,-0,1.01491e+15,1.02363e+14
0.075,0,0,-0,9.90348e+14,1.02041e+14
0.0775,0,0,-0,1.0359e+15,1.00019e+14
0.08,0,0,-0,1.00968e+15,9.55156e+13
0.0825,0,0,-0,1.00961e+15,9.4404e+13
0.085,0,0,-0,9.70531e+14,9.74369e+13
0.0875,0,0,-0,9.94871e+14,9.63642e+13
0.09,0,0,-0,1.00662e+15,9.77702e+13
0.0925,0,0,-0,9.85233e+14,1.03469e+14
0.095,0,0,-0,1.00503e+15,1.0135e+14
0.0975,0,0,-0,1.01568e+15,1.05262e+14
0.1,0,0,0,9.18752e+14,9.45505e+13
