x,phi,rho,ef,ndi,nde
0,0,0,0,8.64285e+14,8.44811e+13
0.0025,0,0,-0,1.01245e+15,8.26465e+13
0.005,0,0,-0,1.00264e+15,7.26338e+13
0.0075,0,0,-0,1.00091e+15,7.0643e+13
0.01,0,0,-0,9.86578e+14,7.05248e+13
0.0125,0,0,-0,9.95081e+14,8.01147e+13
0.015,0,0,-0,1.02052e+15,8.05042e+13
0.0175,0,0,-0,1.03052e+15,8.26853e+13
0.02,0,0,-0,9.89852e+14,7.90995e+13
0.0225,0,0,-0,9.92907e+14,8.06291e+13
0.025,0,0,-0,9.95894e+14,7.67318e+13
0.0275,0,0,-0,1.00788e+15,7.97937e+13
0.03,0,0,-0,9.89874e+14,7.87013e+13
0.0325,0,0,-0,9.74653e+14,8.40914e+13
0.035,0,0,-0,9.71968e+14,8.16931e+13
0.0375,0,0,-0,9.85106e+14,7.97104e+13
0.04,0,0,-0,1.00778e+15,7.34192e+13
0.0425,0,0,-0,1.01785e+15,7.00252e+13
0.045,0,0,-0,9.97642e+14,8.64201e+13
0.0475,0,0,-0,1.01189e+15,8.67524e+13
0.05,0,0,-0,1.02593e+15,7.5688e+13
0.0525,0,0,-0,9.93922e+14,8.01729e+13
0.055,0,0,-0,1.00464e+15,7.60367e+13
0.0575,0,0,-0,9.95422e+14,8.31179e+13
0.06,0,0,-0,9.87679e+14,8.29512e+13
0.0625,0,0,-0,9.81099e+14,7.60729e+13
0.065,0,0,-0,1.00147e+15,8.56142e+13
0.0675,0,0,-0,9.75244e+14,8.39467e+13
0.07,0,0,-0,9.82183e+14,7.27298e+13
0.0725,0,0,-0,1.01506e+15,7.81081e+13
0.075,0,0,-0,9.90535e+14,7.97893e+13
0.0775,0,0,-0,1.03669e+15,8.11582e+13
0.08,0,0,-0,1.0088e+15,8.25415e+13
0.0825,0,0,-0,1.00996e+15,8.19152e+13
0.085,0,0,-0,9.69922e+14,7.55291e+13
0.0875,0,0,-0,9.9608e+14,7.73439e+13
0.09,0,0,-0,1.00649e+15,8.33139e+13
0.0925,0,0,-0,9.85767e+14,7.76374e+13
0.095,0,0,-0,1.00411e+15,8.52553e+13
0.0975,0,0,-0,1.01209e+15,7.69626e+13
0.1,0,0,0,8.96755e+14,7.01103e+13
