x,phi,rho,ef,ndi,nde
0,0,0,0,9.37658e+14,2.13772e+14
0.0025,0,0,-0,1.02139e+15,1.90576e+14
0.005,0,0,-0,9.98864e+14,1.82297e+14
0.0075,0,0,-0,1.00108e+15,1.8672e+14
0.01,0,0,-0,9.89901e+14,1.95943e+14
0.0125,0,0,-0,9.95856e+14,1.82832e+14
0.015,0,0,-0,1.02045e+15,1.92772e+14
0.0175,0,0,-0,1.02591e+15,2.03791e+14
0.02,0,0,-0,9.96131e+14,1.7796e+14
0.0225,0,0,-0,9.91003e+14,1.98313e+14
0.025,0,0,-0,9.90924e+14,1.87853e+14
0.0275,0,0,-0,1.01196e+15,1.90701e+14
0.03,0,0,-0,9.88845e+14,1.85342e+14
0.0325,0,0,-0,9.72457e+14,1.7793e+14
0.035,0,0,-0,9.70951e+14,1.97745e+14
0.0375,0,0,-0,9.87313e+14,1.90472e+14
0.04,0,0,-0,1.00793e+15,1.95058e+14
0.0425,0,0,-0,1.01807e+15,1.93465e+14
0.045,0,0,-0,9.96228e+14,2.0184e+14
0.0475,0,0,-0,1.01442e+15,1.85997e+14
0.05,0,0,-0,1.02523e+15,2.08463e+14
0.0525,0,0,-0,9.88596e+14,2.06359e+14
0.055,0,0,-0,1.00658e+15,2.05807e+14
0.0575,0,0,-0,9.98391e+14,2.10216e+14
0.06,0,0,-0,9.87383e+14,1.97182e+14
0.0625,0,0,-0,9.81605e+14,1.94909e+14
0.065,0,0,-0,9.99107e+14,1.97366e+14
0.0675,0,0,-0,9.78838e+14,1.86804e+14
0.07,0,0,-0,9.83002e+14,1.82045e+14
0.0725,0,0,-0,1.01318e+15,2.06273e+14
0.075,0,0,-0,9.90587e+14,1.85886e+14
0.0775,0,0,-0,1.03457e+15,2.03988e+14
0.08,0,0,-0,1.01097e+15,2.00765e+14
0.0825,0,0,-0,1.00906e+15,1.97561e+14
0.085,0,0,-0,9.71604e+14,1.85439e+14
0.0875,0,0,-0,9.93568e+14,1.84676e+14
0.09,0,0,-0,1.00571e+15,1.86347e+14
0.0925,0,0,-0,9.84777e+14,1.94268e+14
0.095,0,0,-0,1.00619e+15,1.87911e+14
0.0975,0,0,-0,1.02055e+15,1.94118e+14
0.1,0,0,0,9.63227e+14,1.81446e+14
