x,phi,rho,ef,ndi,nde
0,0,0,0,9.80324e+14,4.62118e+14
0.0025,0,0,-0,1.02295e+15,4.63759e+14
0.005,0,0,-0,9.97435e+14,4.90547e+14
0.0075,0,0,-0,1.00106e+15,5.029e+14
0.01,0,0,-0,9.9164e+14,4.90409e+14
0.0125,0,0,-0,9.96589e+14,5.30784e+14
0.015,0,0,-0,1.01922e+15,5.45342e+14
0.0175,0,0,-0,1.02426e+15,5.66942e+14
0.02,0,0,-0,9.99394e+14,5.63427e+14
0.0225,0,0,-0,9.90026e+14,5.584e+14
0.025,0,0,-0,9.88501e+14,5.82394e+14
0.0275,0,0,-0,1.01332e+15,5.94002e+14
0.03,0,0,-0,9.88979e+14,5.93075e+14
0.0325,0,0,-0,9.71168e+14,6.09819e+14
0.035,0,0,-0,9.71153e+14,6.11679e+14
0.0375,0,0,-0,9.87994e+14,6.11488e+14
0.04,0,0,-0,1.00745e+15,6.10721e+14
0.0425,0,0,-0,1.01836e+15,6.01824e+14
0.045,0,0,-0,9.9689e+14,6.08166e+14
0.0475,0,0,-0,1.01416e+15,6.15309e+14
0.05,0,0,-0,1.02422e+15,6.32836e+14
0.0525,0,0,-0,9.87848e+14,6.26385e+14
0.055,0,0,-0,1.00595e+15,6.00381e+14
0.0575,0,0,-0,1.0013e+15,6.10942e+14
0.06,0,0,-0,9.85904e+14,6.25015e+14
0.0625,0,0,-0,9.83137e+14,6.38282e+14
0.065,0,0,-0,9.97146e+14,6.06453e+14
0.0675,0,0,-0,9.80947e+14,5.9433e+14
0.07,0,0,-0,9.83243e+14,6.07759e+14
0.0725,0,0,-0,1.01157e+15,6.03281e+14
0.075,0,0,-0,9.92247e+14,5.79391e+14
0.0775,0,0,-0,1.03193e+15,5.66847e+14
0.08,0,0,-0,1.01273e+15,5.61644e+14
0.0825,0,0,-0,1.00818e+15,5.31353e+14
0.085,0,0,-0,9.72579e+14,5.11395e+14
0.0875,0,0,-0,9.93399e+14,5.14783e+14
0.09,0,0,-0,1.00395e+15,5.3157e+14
0.0925,0,0,-0,9.85189e+14,5.15849e+14
0.095,0,0,-0,1.00678e+15,4.87498e+14
0.0975,0,0,-0,1.0224e+15,4.66819e+14
0.1,0,0,0,1.00213e+15,4.67081e+14
