x,phi,rho,ef,ndi,nde
0,0,0,0,8.93302e+14,1.1711e+14
0.0025,0,0,-0,1.01746e+15,1.116e+14
0.005,0,0,-0,1.0009e+15,1.04601e+14
0.0075,0,0,-0,1.001e+15,1.08685e+14
0.01,0,0,-0,9.88043e+14,1.09828e+14
0.0125,0,0,-0,9.95514e+14,1.04536e+14
0.015,0,0,-0,1.02054e+15,1.20435e+14
0.0175,0,0,-0,1.02833e+15,1.10404e+14
0.02,0,0,-0,9.93033e+14,1.03967e+14
0.0225,0,0,-0,9.91509e+14,1.08165e+14
0.025,0,0,-0,9.93885e+14,1.11938e+14
0.0275,0,0,-0,1.00983e+15,1.0586e+14
0.03,0,0,-0,9.89232e+14,1.04519e+14
0.0325,0,0,-0,9.73728e+14,1.11162e+14
0.035,0,0,-0,9.71204e+14,1.11652e+14
0.0375,0,0,-0,9.86394e+14,1.17468e+14
0.04,0,0,-0,1.00796e+15,1.13716e+14
0.0425,0,0,-0,1.01776e+15,1.03907e+14
0.045,0,0,-0,9.96698e+14,1.08849e+14
0.0475,0,0,-0,1.0137e+15,1.14616e+14
0.05,0,0,-0,1.0254e+15,1.12483e+14
0.0525,0,0,-0,9.9112e+14,1.09725e+14
0.055,0,0,-0,1.00605e+15,1.02004e+14
0.0575,0,0,-0,9.96345e+14,1.10148e+14
0.06,0,0,-0,9.87735e+14,1.21296e+14
0.0625,0,0,-0,9.81222e+14,1.15035e+14
0.065,0,0,-0,1.00072e+15,1.15045e+14
0.0675,0,0,-0,9.76726e+14,1.16385e+14
0.07,0,0,-0,9.82295e+14,1.1331e+14
0.0725,0,0,-0,1.01456e+15,1.08683e+14
0.075,0,0,-0,9.90364e+14,1.03961e+14
0.0775,0,0,-0,1.03566e+15,1.05358e+14
0.08,0,0,-0,1.00998e+15,1.07502e+14
0.0825,0,0,-0,1.0095e+15,1.01654e+14
0.085,0,0,-0,9.70745e+14,1.14351e+14
0.0875,0,0,-0,9.94471e+14,1.12407e+14
0.09,0,0,-0,1.00659e+15,1.11292e+14
0.0925,0,0,-0,9.85075e+14,1.15274e+14
0.095,0,0,-0,1.00531e+15,1.18519e+14
0.0975,0,0,-0,1.01684e+15,1.09852e+14
0.1,0,0,0,9.21446e+14,1.01705e+14
