x,phi,rho,ef,ndi,nde
0,0,0,0,8.86589e+14,1.01478e+14
0.0025,0,0,-0,1.01608e+15,9.62825e+13
0.005,0,0,-0,1.0015e+15,9.8212e+13
0.0075,0,0,-0,1.00096e+15,1.00037e+14
0.01,0,0,-0,9.8746e+14,1.02331e+14
0.0125,0,0,-0,9.95391e+14,9.72365e+13
0.015,0,0,-0,1.02063e+15,8.94186e+13
0.0175,0,0,-0,1.02896e+15,9.69866e+13
0.02,0,0,-0,9.92103e+14,9.32989e+13
0.0225,0,0,-0,9.91854e+14,9.12895e+13
0.025,0,0,-0,9.94535e+14,1.03838e+14
0.0275,0,0,-0,1.00924e+15,9.77587e+13
0.03,0,0,-0,9.89447e+14,1.01115e+14
0.0325,0,0,-0,9.74038e+14,9.66184e+13
0.035,0,0,-0,9.71446e+14,1.00504e+14
0.0375,0,0,-0,9.85992e+14,9.28402e+13
0.04,0,0,-0,1.00781e+15,1.01404e+14
0.0425,0,0,-0,1.01784e+15,9.9578e+13
0.045,0,0,-0,9.97017e+14,9.95729e+13
0.0475,0,0,-0,1.01316e+15,9.58973e+13
0.05,0,0,-0,1.0255e+15,9.50731e+13
0.0525,0,0,-0,9.91998e+14,1.03204e+14
0.055,0,0,-0,1.00569e+15,9.76225e+13
0.0575,0,0,-0,9.95953e+14,9.26797e+13
0.06,0,0,-0,9.878e+14,9.93455e+13
0.0625,0,0,-0,9.81156e+14,1.0477e+14
0.065,0,0,-0,1.00096e+15,1.03134e+14
0.0675,0,0,-0,9.76323e+14,1.0128e+14
0.07,0,0,-0,9.82027e+14,1.00823e+14
0.0725,0,0,-0,1.01496e+15,9.89312e+13
0.075,0,0,-0,9.90361e+14,9.92424e+13
0.0775,0,0,-0,1.03594e+15,9.93495e+13
0.08,0,0,-0,1.00963e+15,9.58358e+13
0.0825,0,0,-0,1.00963e+15,9.46173e+13
0.085,0,0,-0,9.70478e+14,9.05078e+13
0.0875,0,0,-0,9.94969e+14,9.83237e+13
0.09,0,0,-0,1.00662e+15,9.57628e+13
0.0925,0,0,-0,9.85256e+14,9.55423e+13
0.095,0,0,-0,1.00497e+15,1.02081e+14
0.0975,0,0,-0,1.01541e+15,1.03918e+14
0.1,0,0,0,9.16843e+14,9.63987e+13
