x,phi,rho,ef,ndi,nde
0,0,0,0,9.60455e+14,3.20115e+14
0.0025,0,0,-0,1.02253e+15,3.10394e+14
0.005,0,0,-0,9.98039e+14,3.13544e+14
0.0075,0,0,-0,1.00095e+15,3.19479e+14
0.01,0,0,-0,9.91019e+14,3.26414e+14
0.0125,0,0,-0,9.96254e+14,3.18285e+14
0.015,0,0,-0,1.01984e+15,3.23778e+14
0.0175,0,0,-0,1.02478e+15,3.22532e+14
0.02,0,0,-0,9.98124e+14,3.19356e+14
0.0225,0,0,-0,9.90425e+14,3.16231e+14
0.025,0,0,-0,9.89511e+14,3.26869e+14
0.0275,0,0,-0,1.0128e+15,3.4791e+14
0.03,0,0,-0,9.88749e+14,3.44477e+14
0.0325,0,0,-0,9.71915e+14,3.42294e+14
0.035,0,0,-0,9.70875e+14,3.26637e+14
0.0375,0,0,-0,9.87856e+14,3.3146e+14
0.04,0,0,-0,1.00753e+15,3.27802e+14
0.0425,0,0,-0,1.01832e+15,3.36886e+14
0.045,0,0,-0,9.96542e+14,3.17502e+14
0.0475,0,0,-0,1.01437e+15,3.25151e+14
0.05,0,0,-0,1.02459e+15,3.38719e+14
0.0525,0,0,-0,9.88101e+14,3.42817e+14
0.055,0,0,-0,1.00631e+15,3.41329e+14
0.0575,0,0,-0,1.00003e+15,3.28669e+14
0.06,0,0,-0,9.86598e+14,3.35421e+14
0.0625,0,0,-0,9.82361e+14,3.26251e+14
0.065,0,0,-0,9.98054e+14,3.53794e+14
0.0675,0,0,-0,9.8005e+14,3.56107e+14
0.07,0,0,-0,9.83159e+14,3.26404e+14
0.0725,0,0,-0,1.01233e+15,3.26767e+14
0.075,0,0,-0,9.91354e+14,3.31785e+14
0.0775,0,0,-0,1.03307e+15,3.15032e+14
0.08,0,0,-0,1.01218e+15,3.18479e+14
0.0825,0,0,-0,1.00842e+15,3.14564e+14
0.085,0,0,-0,9.72223e+14,3.31357e+14
0.0875,0,0,-0,9.93417e+14,3.33623e+14
0.09,0,0,-0,1.00465e+15,3.15022e+14
0.0925,0,0,-0,9.85071e+14,3.27149e+14
0.095,0,0,-0,1.00649e+15,3.2351e+14
0.0975,0,0,-0,1.02185e+15,3.22824e+14
0.1,0,0,0,9.90868e+14,2.93834e+14
