x,phi,rho,ef,ndi,nde
0,0,0,0,9.57324e+14,3.01367e+14
0.0025,0,0,-0,1.02244e+15,2.91129e+14
0.005,0,0,-0,9.98142e+14,2.94662e+14
0.0075,0,0,-0,1.00094e+15,3.05631e+14
0.01,0,0,-0,9.90895e+14,2.91049e+14
0.0125,0,0,-0,9.9621e+14,2.96458e+14
0.015,0,0,-0,1.01994e+15,2.97062e+14
0.0175,0,0,-0,1.02489e+15,2.80428e+14
0.02,0,0,-0,9.97902e+14,3.00217e+14
0.0225,0,0,-0,9.90471e+14,3.16952e+14
0.025,0,0,-0,9.89714e+14,3.08822e+14
0.0275,0,0,-0,1.01268e+15,3.17438e+14
0.03,0,0,-0,9.88747e+14,3.0683e+14
0.0325,0,0,-0,9.72002e+14,3.01228e+14
0.035,0,0,-0,9.70855e+14,3.13606e+14
0.0375,0,0,-0,9.87827e+14,3.11412e+14
0.04,0,0,-0,1.00756e+15,2.83359e+14
0.0425,0,0,-0,1.01827e+15,3.06731e+14
0.045,0,0,-0,9.96507e+14,3.05948e+14
0.0475,0,0,-0,1.0144e+15,3.06401e+14
0.05,0,0,-0,1.02466e+15,3.01554e+14
0.0525,0,0,-0,9.88158e+14,3.14403e+14
0.055,0,0,-0,1.00635e+15,3.15161e+14
0.0575,0,0,-0,9.9981e+14,3.09583e+14
0.06,0,0,-0,9.86707e+14,3.08475e+14
0.0625,0,0,-0,9.82253e+14,3.00605e+14
0.065,0,0,-0,9.98195e+14,3.27349e+14
0.0675,0,0,-0,9.79882e+14,3.1834e+14
0.07,0,0,-0,9.83161e+14,3.19721e+14
0.0725,0,0,-0,1.01246e+15,3.06474e+14
0.075,0,0,-0,9.91201e+14,2.9747e+14
0.0775,0,0,-0,1.03329e+15,2.89626e+14
0.08,0,0,-0,1.01204e+15,2.90095e+14
0.0825,0,0,-0,1.00849e+15,2.89638e+14
0.085,0,0,-0,9.72145e+14,2.89162e+14
0.0875,0,0,-0,9.9343e+14,3.08647e+14
0.09,0,0,-0,1.00478e+15,2.97622e+14
0.0925,0,0,-0,9.85029e+14,3.04454e+14
0.095,0,0,-0,1.00646e+15,3.12465e+14
0.0975,0,0,-0,1.02172e+15,2.92397e+14
0.1,0,0,0,9.8785e+14,2.94226e+14
