x,phi,rho,ef,ndi,nde
0,0,0,0,8.65359e+14,8.93646e+13
0.0025,0,0,-0,1.01277e+15,8.43695e+13
0.005,0,0,-0,1.00256e+15,7.65613e+13
0.0075,0,0,-0,1.00091e+15,7.23694e+13
0.01,0,0,-0,9.86649e+14,6.97294e+13
0.0125,0,0,-0,9.95094e+14,8.1e+13
0.015,0,0,-0,1.02056e+15,7.93124e+13
0.0175,0,0,-0,1.03037e+15,8.50424e+13
0.02,0,0,-0,9.90027e+14,8.09384e+13
0.0225,0,0,-0,9.92834e+14,8.24646e+13
0.025,0,0,-0,9.95761e+14,7.99115e+13
0.0275,0,0,-0,1.00802e+15,7.79349e+13
0.03,0,0,-0,9.89822e+14,8.09737e+13
0.0325,0,0,-0,9.74591e+14,8.32651e+13
0.035,0,0,-0,9.7196e+14,8.42969e+13
0.0375,0,0,-0,9.85157e+14,8.24077e+13
0.04,0,0,-0,1.00777e+15,7.4305e+13
0.0425,0,0,-0,1.01786e+15,7.22187e+13
0.045,0,0,-0,9.97597e+14,8.57798e+13
0.0475,0,0,-0,1.01199e+15,8.85359e+13
0.05,0,0,-0,1.02589e+15,7.76915e+13
0.0525,0,0,-0,9.93775e+14,8.17573e+13
0.055,0,0,-0,1.00471e+15,7.60749e+13
0.0575,0,0,-0,9.9546e+14,8.42458e+13
0.06,0,0,-0,9.8772e+14,8.43114e+13
0.0625,0,0,-0,9.81085e+14,7.81409e+13
0.065,0,0,-0,1.00142e+15,8.78194e+13
0.0675,0,0,-0,9.75344e+14,8.25133e+13
0.07,0,0,-0,9.82146e+14,7.54617e+13
0.0725,0,0,-0,1.01506e+15,7.95704e+13
0.075,0,0,-0,9.90536e+14,8.17463e+13
0.0775,0,0,-0,1.03661e+15,8.23869e+13
0.08,0,0,-0,1.00888e+15,8.34199e+13
0.0825,0,0,-0,1.00992e+15,8.43248e+13
0.085,0,0,-0,9.69966e+14,7.47677e+13
0.0875,0,0,-0,9.95994e+14,7.99897e+13
0.09,0,0,-0,1.00651e+15,8.30954e+13
0.0925,0,0,-0,9.85714e+14,8.31006e+13
0.095,0,0,-0,1.00418e+15,8.37172e+13
0.0975,0,0,-0,1.0124e+15,7.40893e+13
0.1,0,0,0,8.9777e+14,6.97535e+13
