x,phi,rho,ef,ndi,nde
0,0,0,0,9.12712e+14,1.34432e+14
0.0025,0,0,-0,1.0196e+15,1.3682e+14
0.005,0,0,-0,9.99821e+14,1.43087e+14
0.0075,0,0,-0,1.00117e+15,1.35674e+14
0.01,0,0,-0,9.88885e+14,1.30794e+14
0.0125,0,0,-0,9.95655e+14,1.33833e+14
0.015,0,0,-0,1.02055e+15,1.28625e+14
0.0175,0,0,-0,1.02716e+15,1.25216e+14
0.02,0,0,-0,9.94465e+14,1.38661e+14
0.0225,0,0,-0,9.91284e+14,1.4945e+14
0.025,0,0,-0,9.92445e+14,1.42789e+14
0.0275,0,0,-0,1.01103e+15,1.32585e+14
0.03,0,0,-0,9.88763e+14,1.35468e+14
0.0325,0,0,-0,9.73343e+14,1.41266e+14
0.035,0,0,-0,9.70954e+14,1.34865e+14
0.0375,0,0,-0,9.86824e+14,1.39763e+14
0.04,0,0,-0,1.00806e+15,1.448e+14
0.0425,0,0,-0,1.01785e+15,1.3699e+14
0.045,0,0,-0,9.96326e+14,1.4135e+14
0.0475,0,0,-0,1.01426e+15,1.49452e+14
0.05,0,0,-0,1.02533e+15,1.51291e+14
0.0525,0,0,-0,9.89634e+14,1.37413e+14
0.055,0,0,-0,1.0066e+15,1.43954e+14
0.0575,0,0,-0,9.97158e+14,1.43132e+14
0.06,0,0,-0,9.87664e+14,1.35527e+14
0.0625,0,0,-0,9.81299e+14,1.36222e+14
0.065,0,0,-0,1.00013e+15,1.38598e+14
0.0675,0,0,-0,9.77557e+14,1.52705e+14
0.07,0,0,-0,9.82725e+14,1.40231e+14
0.0725,0,0,-0,1.01392e+15,1.37396e+14
0.075,0,0,-0,9.90348e+14,1.37922e+14
0.0775,0,0,-0,1.03523e+15,1.42036e+14
0.08,0,0,-0,1.01045e+15,1.35694e+14
0.0825,0,0,-0,1.00934e+15,1.40168e+14
0.085,0,0,-0,9.71085e+14,1.35697e+14
0.0875,0,0,-0,9.93884e+14,1.41175e+14
0.09,0,0,-0,1.00641e+15,1.24371e+14
0.0925,0,0,-0,9.848e+14,1.37839e+14
0.095,0,0,-0,1.00576e+15,1.46717e+14
0.0975,0,0,-0,1.01892e+15,1.41826e+14
0.1,0,0,0,9.427e+14,1.48366e+14
