x,phi,rho,ef,ndi,nde
0,0,0,0,9.04368e+14,1.24037e+14
0.0025,0,0,-0,1.01868e+15,1.24512e+14
0.005,0,0,-0,1.00028e+15,1.15648e+14
0.0075,0,0,-0,1.00113e+15,1.16529e+14
0.01,0,0,-0,9.88477e+14,1.21251e+14
0.0125,0,0,-0,9.9562e+14,1.20039e+14
0.015,0,0,-0,1.02052e+15,1.19334e+14
0.0175,0,0,-0,1.02771e+15,1.23019e+14
0.02,0,0,-0,9.93848e+14,1.31518e+14
0.0225,0,0,-0,9.91282e+14,1.264e+14
0.025,0,0,-0,9.93194e+14,1.27491e+14
0.0275,0,0,-0,1.01046e+15,1.20492e+14
0.03,0,0,-0,9.8896e+14,1.15922e+14
0.0325,0,0,-0,9.73551e+14,1.21547e+14
0.035,0,0,-0,9.70991e+14,1.31295e+14
0.0375,0,0,-0,9.86666e+14,1.25893e+14
0.04,0,0,-0,1.00806e+15,1.21858e+14
0.0425,0,0,-0,1.0178e+15,1.28472e+14
0.045,0,0,-0,9.96442e+14,1.27704e+14
0.0475,0,0,-0,1.01404e+15,1.27255e+14
0.05,0,0,-0,1.02537e+15,1.23825e+14
0.0525,0,0,-0,9.90295e+14,1.29378e+14
0.055,0,0,-0,1.00637e+15,1.27489e+14
0.0575,0,0,-0,9.96768e+14,1.19685e+14
0.06,0,0,-0,9.87692e+14,1.26329e+14
0.0625,0,0,-0,9.81288e+14,1.38291e+14
0.065,0,0,-0,1.00042e+15,1.34683e+14
0.0675,0,0,-0,9.77136e+14,1.18109e+14
0.07,0,0,-0,9.82545e+14,1.216e+14
0.0725,0,0,-0,1.01421e+15,1.1771e+14
0.075,0,0,-0,9.90361e+14,1.24809e+14
0.0775,0,0,-0,1.03538e+15,1.23947e+14
0.08,0,0,-0,1.0103e+15,1.29017e+14
0.0825,0,0,-0,1.0094e+15,1.20728e+14
0.085,0,0,-0,9.70955e+14,1.28393e+14
0.0875,0,0,-0,9.94048e+14,1.30967e+14
0.09,0,0,-0,1.0066e+15,1.21593e+14
0.0925,0,0,-0,9.84876e+14,1.21174e+14
0.095,0,0,-0,1.00553e+15,1.17329e+14
0.0975,0,0,-0,1.0181e+15,1.20458e+14
0.1,0,0,0,9.32145e+14,1.17373e+14
