x,phi,rho,ef,ndi,nde
0,0,0,0,9.44394e+14,2.10873e+14
0.0025,0,0,-0,1.02181e+15,2.23479e+14
0.005,0,0,-0,9.98599e+14,1.94483e+14
0.0075,0,0,-0,1.00102e+15,2.19599e+14
0.01,0,0,-0,9.902e+14,2.18733e+14
0.0125,0,0,-0,9.95991e+14,2.125e+14
0.015,0,0,-0,1.0203e+15,2.23058e+14
0.0175,0,0,-0,1.02559e+15,2.13157e+14
0.02,0,0,-0,9.9668e+14,2.17379e+14
0.0225,0,0,-0,9.90817e+14,2.10247e+14
0.025,0,0,-0,9.90589e+14,2.11642e+14
0.0275,0,0,-0,1.01214e+15,2.27391e+14
0.03,0,0,-0,9.88853e+14,2.10386e+14
0.0325,0,0,-0,9.723e+14,2.1023e+14
0.035,0,0,-0,9.70887e+14,2.20864e+14
0.0375,0,0,-0,9.87507e+14,2.20122e+14
0.04,0,0,-0,1.00782e+15,2.10436e+14
0.0425,0,0,-0,1.01813e+15,2.11228e+14
0.045,0,0,-0,9.96302e+14,2.14459e+14
0.0475,0,0,-0,1.0144e+15,2.2575e+14
0.05,0,0,-0,1.02508e+15,2.30458e+14
0.0525,0,0,-0,9.88439e+14,2.29447e+14
0.055,0,0,-0,1.00655e+15,2.25816e+14
0.0575,0,0,-0,9.988e+14,2.2907e+14
0.06,0,0,-0,9.87194e+14,2.33763e+14
0.0625,0,0,-0,9.8178e+14,2.22042e+14
0.065,0,0,-0,9.98812e+14,2.22249e+14
0.0675,0,0,-0,9.7915e+14,2.21774e+14
0.07,0,0,-0,9.83121e+14,2.16595e+14
0.0725,0,0,-0,1.01297e+15,2.16913e+14
0.075,0,0,-0,9.90685e+14,2.2151e+14
0.0775,0,0,-0,1.03422e+15,2.23303e+14
0.08,0,0,-0,1.01129e+15,2.1192e+14
0.0825,0,0,-0,1.0089e+15,2.09579e+14
0.085,0,0,-0,9.71746e+14,2.1729e+14
0.0875,0,0,-0,9.93519e+14,2.13684e+14
0.09,0,0,-0,1.00546e+15,2.20993e+14
0.0925,0,0,-0,9.84814e+14,2.14698e+14
0.095,0,0,-0,1.0063e+15,2.14503e+14
0.0975,0,0,-0,1.02094e+15,2.05533e+14
0.1,0,0,0,9.7061e+14,2.15759e+14
