x,phi,rho,ef,ndi,nde
0,0,0,0,8.79729e+14,9.62717e+13
0.0025,0,0,-0,1.01531e+15,9.74553e+13
0.005,0,0,-0,1.00181e+15,9.25771e+13
0.0075,0,0,-0,1.00093e+15,9.7336e+13
0.01,0,0,-0,9.87224e+14,9.2019e+13
0.0125,0,0,-0,9.9534e+14,8.94977e+13
0.015,0,0,-0,1.02065e+15,8.42352e+13
0.0175,0,0,-0,1.02925e+15,8.97481e+13
0.02,0,0,-0,9.91624e+14,8.85125e+13
0.0225,0,0,-0,9.92078e+14,9.41011e+13
0.025,0,0,-0,9.94806e+14,9.84898e+13
0.0275,0,0,-0,1.00899e+15,9.54609e+13
0.03,0,0,-0,9.89537e+14,9.1989e+13
0.0325,0,0,-0,9.74149e+14,9.1195e+13
0.035,0,0,-0,9.71619e+14,9.61568e+13
0.0375,0,0,-0,9.85746e+14,8.88104e+13
0.04,0,0,-0,1.00776e+15,9.38334e+13
0.0425,0,0,-0,1.01791e+15,9.85501e+13
0.045,0,0,-0,9.97135e+14,9.03843e+13
0.0475,0,0,-0,1.01288e+15,9.37476e+13
0.05,0,0,-0,1.02558e+15,9.06106e+13
0.0525,0,0,-0,9.92452e+14,9.52454e+13
0.055,0,0,-0,1.00542e+15,9.7484e+13
0.0575,0,0,-0,9.95847e+14,8.75466e+13
0.06,0,0,-0,9.87813e+14,8.99723e+13
0.0625,0,0,-0,9.81125e+14,1.05224e+14
0.065,0,0,-0,1.00106e+15,9.2603e+13
0.0675,0,0,-0,9.76107e+14,9.42598e+13
0.07,0,0,-0,9.81984e+14,9.50662e+13
0.0725,0,0,-0,1.01504e+15,9.97256e+13
0.075,0,0,-0,9.90426e+14,9.37409e+13
0.0775,0,0,-0,1.03606e+15,8.96585e+13
0.08,0,0,-0,1.00949e+15,9.46467e+13
0.0825,0,0,-0,1.00968e+15,9.61601e+13
0.085,0,0,-0,9.70341e+14,8.63151e+13
0.0875,0,0,-0,9.95227e+14,8.99452e+13
0.09,0,0,-0,1.00665e+15,9.4179e+13
0.0925,0,0,-0,9.85306e+14,8.97784e+13
0.095,0,0,-0,1.00481e+15,8.90318e+13
0.0975,0,0,-0,1.0147e+15,9.7292e+13
0.1,0,0,0,9.13375e+14,1.04159e+14
