x,phi,rho,ef,ndi,nde
0,0,0,0,9.1076e+14,1.48782e+14
0.0025,0,0,-0,1.01928e+15,1.37955e+14
0.005,0,0,-0,9.99963e+14,1.28582e+14
0.0075,0,0,-0,1.00119e+15,1.27249e+14
0.01,0,0,-0,9.88695e+14,1.25379e+14
0.0125,0,0,-0,9.95658e+14,1.24898e+14
0.015,0,0,-0,1.02054e+15,1.24845e+14
0.0175,0,0,-0,1.02739e+15,1.26377e+14
0.02,0,0,-0,9.9422e+14,1.37502e+14
0.0225,0,0,-0,9.91266e+14,1.38913e+14
0.025,0,0,-0,9.92753e+14,1.37829e+14
0.0275,0,0,-0,1.01082e+15,1.27609e+14
0.03,0,0,-0,9.88814e+14,1.24906e+14
0.0325,0,0,-0,9.73449e+14,1.37071e+14
0.035,0,0,-0,9.70941e+14,1.3257e+14
0.0375,0,0,-0,9.86781e+14,1.3116e+14
0.04,0,0,-0,1.00805e+15,1.36727e+14
0.0425,0,0,-0,1.01784e+15,1.33926e+14
0.045,0,0,-0,9.96348e+14,1.36055e+14
0.0475,0,0,-0,1.0142e+15,1.37831e+14
0.05,0,0,-0,1.02534e+15,1.42679e+14
0.0525,0,0,-0,9.89868e+14,1.3671e+14
0.055,0,0,-0,1.00653e+15,1.30607e+14
0.0575,0,0,-0,9.97007e+14,1.37826e+14
0.06,0,0,-0,9.87678e+14,1.32889e+14
0.0625,0,0,-0,9.81283e+14,1.37206e+14
0.065,0,0,-0,1.00025e+15,1.35972e+14
0.0675,0,0,-0,9.77376e+14,1.31138e+14
0.07,0,0,-0,9.82675e+14,1.36963e+14
0.0725,0,0,-0,1.01403e+15,1.29889e+14
0.075,0,0,-0,9.90353e+14,1.33665e+14
0.0775,0,0,-0,1.03527e+15,1.34969e+14
0.08,0,0,-0,1.01042e+15,1.36388e+14
0.0825,0,0,-0,1.00935e+15,1.28575e+14
0.085,0,0,-0,9.71035e+14,1.34955e+14
0.0875,0,0,-0,9.93958e+14,1.33898e+14
0.09,0,0,-0,1.00647e+15,1.29466e+14
0.0925,0,0,-0,9.84816e+14,1.20892e+14
0.095,0,0,-0,1.00569e+15,1.32238e+14
0.0975,0,0,-0,1.01862e+15,1.3776e+14
0.1,0,0,0,9.3922e+14,1.35878e+14
