x,phi,rho,ef,ndi,nde
0,0,0,0,9.12176e+14,1.2721e+14
0.0025,0,0,-0,1.01941e+15,1.40305e+14
0.005,0,0,-0,9.99903e+14,1.33706e+14
0.0075,0,0,-0,1.00118e+15,1.29816e+14
0.01,0,0,-0,9.88769e+14,1.28227e+14
0.0125,0,0,-0,9.95659e+14,1.26919e+14
0.015,0,0,-0,1.02054e+15,1.27093e+14
0.0175,0,0,-0,1.0273e+15,1.26095e+14
0.02,0,0,-0,9.94315e+14,1.36026e+14
0.0225,0,0,-0,9.91276e+14,1.45035e+14
0.025,0,0,-0,9.92628e+14,1.39581e+14
0.0275,0,0,-0,1.0109e+15,1.30329e+14
0.03,0,0,-0,9.88793e+14,1.26782e+14
0.0325,0,0,-0,9.73409e+14,1.41534e+14
0.035,0,0,-0,9.70942e+14,1.32669e+14
0.0375,0,0,-0,9.868e+14,1.32687e+14
0.04,0,0,-0,1.00806e+15,1.41494e+14
0.0425,0,0,-0,1.01785e+15,1.34289e+14
0.045,0,0,-0,9.96333e+14,1.39447e+14
0.0475,0,0,-0,1.01423e+15,1.40183e+14
0.05,0,0,-0,1.02534e+15,1.47651e+14
0.0525,0,0,-0,9.89769e+14,1.36204e+14
0.055,0,0,-0,1.00656e+15,1.36096e+14
0.0575,0,0,-0,9.97068e+14,1.41025e+14
0.06,0,0,-0,9.87671e+14,1.33146e+14
0.0625,0,0,-0,9.8129e+14,1.36739e+14
0.065,0,0,-0,1.0002e+15,1.36268e+14
0.0675,0,0,-0,9.77446e+14,1.39233e+14
0.07,0,0,-0,9.82698e+14,1.39785e+14
0.0725,0,0,-0,1.01398e+15,1.31458e+14
0.075,0,0,-0,9.90351e+14,1.34981e+14
0.0775,0,0,-0,1.03525e+15,1.40778e+14
0.08,0,0,-0,1.01044e+15,1.33623e+14
0.0825,0,0,-0,1.00934e+15,1.32652e+14
0.085,0,0,-0,9.71052e+14,1.37674e+14
0.0875,0,0,-0,9.93933e+14,1.34954e+14
0.09,0,0,-0,1.00644e+15,1.28788e+14
0.0925,0,0,-0,9.8481e+14,1.24341e+14
0.095,0,0,-0,1.00572e+15,1.38029e+14
0.0975,0,0,-0,1.01874e+15,1.41492e+14
0.1,0,0,0,9.41409e+14,1.2092e+14
