x,phi,rho,ef,ndi,nde
0,0,0,0,8.98933e+14,1.12348e+14
0.0025,0,0,-0,1.01798e+15,1.14328e+14
0.005,0,0,-0,1.00065e+15,1.12412e+14
0.0075,0,0,-0,1.00104e+15,1.09238e+14
0.01,0,0,-0,9.88229e+14,1.2062e+14
0.0125,0,0,-0,9.95573e+14,1.06246e+14
0.015,0,0,-0,1.02052e+15,1.15388e+14
0.0175,0,0,-0,1.02806e+15,1.26793e+14
0.02,0,0,-0,9.93388e+14,1.11808e+14
0.0225,0,0,-0,9.914e+14,1.1838e+14
0.025,0,0,-0,9.93608e+14,1.10003e+14
0.0275,0,0,-0,1.01008e+15,1.21226e+14
0.03,0,0,-0,9.89141e+14,1.05088e+14
0.0325,0,0,-0,9.73631e+14,1.09701e+14
0.035,0,0,-0,9.71093e+14,1.2445e+14
0.0375,0,0,-0,9.86545e+14,1.21653e+14
0.04,0,0,-0,1.008e+15,1.18136e+14
0.0425,0,0,-0,1.01777e+15,1.11244e+14
0.045,0,0,-0,9.96572e+14,1.18032e+14
0.0475,0,0,-0,1.01386e+15,1.21115e+14
0.05,0,0,-0,1.02538e+15,1.15197e+14
0.0525,0,0,-0,9.90755e+14,1.13251e+14
0.055,0,0,-0,1.00621e+15,1.16772e+14
0.0575,0,0,-0,9.96513e+14,1.1604e+14
0.06,0,0,-0,9.87713e+14,1.19679e+14
0.0625,0,0,-0,9.81262e+14,1.25202e+14
0.065,0,0,-0,1.00059e+15,1.24799e+14
0.0675,0,0,-0,9.76916e+14,1.21348e+14
0.07,0,0,-0,9.824e+14,1.14739e+14
0.0725,0,0,-0,1.01439e+15,1.07116e+14
0.075,0,0,-0,9.90372e+14,1.13222e+14
0.0775,0,0,-0,1.03554e+15,1.11667e+14
0.08,0,0,-0,1.01012e+15,1.13259e+14
0.0825,0,0,-0,1.00946e+15,1.16893e+14
0.085,0,0,-0,9.70844e+14,1.18763e+14
0.0875,0,0,-0,9.94263e+14,1.14912e+14
0.09,0,0,-0,1.0066e+15,1.26865e+14
0.0925,0,0,-0,9.84994e+14,1.20944e+14
0.095,0,0,-0,1.00541e+15,1.0746e+14
0.0975,0,0,-0,1.01741e+15,1.10885e+14
0.1,0,0,0,9.23692e+14,1.24309e+14
