x,phi,rho,ef,ndi,nde
0,0,0,0,9.42094e+14,2.34301e+14
0.0025,0,0,-0,1.02171e+15,2.02303e+14
0.005,0,0,-0,9.98653e+14,2.00382e+14
0.0075,0,0,-0,1.00104e+15,2.16172e+14
0.01,0,0,-0,9.9013e+14,2.10936e+14
0.0125,0,0,-0,9.9596e+14,2.05727e+14
0.015,0,0,-0,1.02034e+15,2.16542e+14
0.0175,0,0,-0,1.02565e+15,2.05155e+14
0.02,0,0,-0,9.96562e+14,2.12048e+14
0.0225,0,0,-0,9.90856e+14,1.97981e+14
0.025,0,0,-0,9.90662e+14,2.19382e+14
0.0275,0,0,-0,1.0121e+15,2.14198e+14
0.03,0,0,-0,9.88857e+14,2.0371e+14
0.0325,0,0,-0,9.72327e+14,2.01179e+14
0.035,0,0,-0,9.70905e+14,2.16332e+14
0.0375,0,0,-0,9.87467e+14,2.13768e+14
0.04,0,0,-0,1.00784e+15,2.05015e+14
0.0425,0,0,-0,1.01812e+15,2.04724e+14
0.045,0,0,-0,9.9628e+14,2.09609e+14
0.0475,0,0,-0,1.01441e+15,2.22203e+14
0.05,0,0,-0,1.02511e+15,2.21699e+14
0.0525,0,0,-0,9.88476e+14,2.26527e+14
0.055,0,0,-0,1.00655e+15,2.2083e+14
0.0575,0,0,-0,9.98709e+14,2.22393e+14
0.06,0,0,-0,9.87243e+14,2.27579e+14
0.0625,0,0,-0,9.81735e+14,2.13663e+14
0.065,0,0,-0,9.98875e+14,2.11832e+14
0.0675,0,0,-0,9.79082e+14,2.18165e+14
0.07,0,0,-0,9.831e+14,2.11359e+14
0.0725,0,0,-0,1.01302e+15,2.0425e+14
0.075,0,0,-0,9.90659e+14,2.22737e+14
0.0775,0,0,-0,1.0343e+15,2.17468e+14
0.08,0,0,-0,1.01122e+15,2.11935e+14
0.0825,0,0,-0,1.00894e+15,1.99399e+14
0.085,0,0,-0,9.71705e+14,2.08651e+14
0.0875,0,0,-0,9.93537e+14,2.08782e+14
0.09,0,0,-0,1.00552e+15,2.09099e+14
0.0925,0,0,-0,9.84803e+14,2.13973e+14
0.095,0,0,-0,1.00627e+15,2.1519e+14
0.0975,0,0,-0,1.02086e+15,2.02152e+14
0.1,0,0,0,9.69939e+14,1.90796e+14
