x,phi,rho,ef,ndi,nde
0,0,0,0,8.93208e+14,1.12592e+14
0.0025,0,0,-0,1.01699e+15,1.03799e+14
0.005,0,0,-0,1.0011e+15,1.00466e+14
0.0075,0,0,-0,1.00099e+15,1.06221e+14
0.01,0,0,-0,9.8784e+14,1.0474e+14
0.0125,0,0,-0,9.95467e+14,1.08837e+14
0.015,0,0,-0,1.02057e+15,1.10285e+14
0.0175,0,0,-0,1.02855e+15,9.91295e+13
0.02,0,0,-0,9.92711e+14,1.00957e+14
0.0225,0,0,-0,9.91602e+14,1.05401e+14
0.025,0,0,-0,9.94144e+14,1.02751e+14
0.0275,0,0,-0,1.00963e+15,1.02772e+14
0.03,0,0,-0,9.89285e+14,1.05962e+14
0.0325,0,0,-0,9.73846e+14,1.07416e+14
0.035,0,0,-0,9.71288e+14,1.03376e+14
0.0375,0,0,-0,9.86262e+14,1.12497e+14
0.04,0,0,-0,1.00791e+15,1.06382e+14
0.0425,0,0,-0,1.01777e+15,1.04695e+14
0.045,0,0,-0,9.96812e+14,1.0169e+14
0.0475,0,0,-0,1.01352e+15,1.07339e+14
0.05,0,0,-0,1.02543e+15,1.10563e+14
0.0525,0,0,-0,9.91425e+14,1.05895e+14
0.055,0,0,-0,1.00593e+15,9.34253e+13
0.0575,0,0,-0,9.96186e+14,1.08889e+14
0.06,0,0,-0,9.87766e+14,1.14275e+14
0.0625,0,0,-0,9.81214e+14,1.08279e+14
0.065,0,0,-0,1.0008e+15,1.1358e+14
0.0675,0,0,-0,9.76578e+14,1.09391e+14
0.07,0,0,-0,9.82201e+14,1.04651e+14
0.0725,0,0,-0,1.01472e+15,1.12427e+14
0.075,0,0,-0,9.90348e+14,1.02551e+14
0.0775,0,0,-0,1.03577e+15,9.98153e+13
0.08,0,0,-0,1.00984e+15,1.00102e+14
0.0825,0,0,-0,1.00954e+15,1.02457e+14
0.085,0,0,-0,9.7067e+14,1.00536e+14
0.0875,0,0,-0,9.94635e+14,1.05639e+14
0.09,0,0,-0,1.0066e+15,1.09591e+14
0.0925,0,0,-0,9.85143e+14,1.09168e+14
0.095,0,0,-0,1.00519e+15,1.07486e+14
0.0975,0,0,-0,1.01637e+15,1.13934e+14
0.1,0,0,0,9.18298e+14,1.11861e+14
