x,phi,rho,ef,ndi,nde
0,0,0,0,8.64022e+14,8.13415e+13
0.0025,0,0,-0,1.01212e+15,7.87281e+13
0.005,0,0,-0,1.00272e+15,7.00834e+13
0.0075,0,0,-0,1.00092e+15,6.93303e+13
0.01,0,0,-0,9.865e+14,7.28418e+13
0.0125,0,0,-0,9.95073e+14,7.88603e+13
0.015,0,0,-0,1.02049e+15,8.0846e+13
0.0175,0,0,-0,1.03065e+15,8.00849e+13
0.02,0,0,-0,9.89694e+14,7.71054e+13
0.0225,0,0,-0,9.9297e+14,7.83283e+13
0.025,0,0,-0,9.96031e+14,7.57236e+13
0.0275,0,0,-0,1.00774e+15,8.02197e+13
0.03,0,0,-0,9.89914e+14,7.7155e+13
0.0325,0,0,-0,9.74731e+14,8.31195e+13
0.035,0,0,-0,9.71961e+14,8.06627e+13
0.0375,0,0,-0,9.85067e+14,7.71803e+13
0.04,0,0,-0,1.00778e+15,7.16946e+13
0.0425,0,0,-0,1.01785e+15,6.91182e+13
0.045,0,0,-0,9.97688e+14,8.69177e+13
0.0475,0,0,-0,1.01179e+15,8.39202e+13
0.05,0,0,-0,1.02598e+15,7.46054e+13
0.0525,0,0,-0,9.94049e+14,7.79292e+13
0.055,0,0,-0,1.00458e+15,7.68435e+13
0.0575,0,0,-0,9.95375e+14,8.18086e+13
0.06,0,0,-0,9.87643e+14,8.13153e+13
0.0625,0,0,-0,9.81118e+14,7.4473e+13
0.065,0,0,-0,1.00151e+15,8.28877e+13
0.0675,0,0,-0,9.7514e+14,8.55184e+13
0.07,0,0,-0,9.82234e+14,6.99489e+13
0.0725,0,0,-0,1.01503e+15,7.75496e+13
0.075,0,0,-0,9.90548e+14,7.72276e+13
0.0775,0,0,-0,1.03677e+15,8.12962e+13
0.08,0,0,-0,1.00871e+15,7.94924e+13
0.0825,0,0,-0,1.00999e+15,7.97164e+13
0.085,0,0,-0,9.69886e+14,7.67597e+13
0.0875,0,0,-0,9.96165e+14,7.58848e+13
0.09,0,0,-0,1.00648e+15,8.20422e+13
0.0925,0,0,-0,9.85816e+14,7.59653e+13
0.095,0,0,-0,1.00405e+15,8.13649e+13
0.0975,0,0,-0,1.01177e+15,8.10517e+13
0.1,0,0,0,8.94154e+14,7.14565e+13
