x,phi,rho,ef,ndi,nde
0,0,0,0,8.81272e+14,9.79613e+13
0.0025,0,0,-0,1.01589e+15,9.56424e+13
0.005,0,0,-0,1.00158e+15,9.78312e+13
0.0075,0,0,-0,1.00095e+15,9.96442e+13
0.01,0,0,-0,9.87393e+14,1.00188e+14
0.0125,0,0,-0,9.95383e+14,9.34507e+13
0.015,0,0,-0,1.02063e+15,8.89139e+13
0.0175,0,0,-0,1.02903e+15,9.65294e+13
0.02,0,0,-0,9.91984e+14,8.9123e+13
0.0225,0,0,-0,9.91908e+14,9.35312e+13
0.025,0,0,-0,9.94601e+14,1.02089e+14
0.0275,0,0,-0,1.00918e+15,9.7919e+13
0.03,0,0,-0,9.8947e+14,9.83921e+13
0.0325,0,0,-0,9.74067e+14,9.49454e+13
0.035,0,0,-0,9.71484e+14,1.00084e+14
0.0375,0,0,-0,9.85936e+14,9.09797e+13
0.04,0,0,-0,1.0078e+15,9.9325e+13
0.0425,0,0,-0,1.01785e+15,1.00048e+14
0.045,0,0,-0,9.97049e+14,9.67898e+13
0.0475,0,0,-0,1.01309e+15,9.62997e+13
0.05,0,0,-0,1.02552e+15,9.20727e+13
0.0525,0,0,-0,9.92109e+14,1.01901e+14
0.055,0,0,-0,1.00563e+15,9.83578e+13
0.0575,0,0,-0,9.95926e+14,9.04815e+13
0.06,0,0,-0,9.87798e+14,9.69604e+13
0.0625,0,0,-0,9.81156e+14,1.05287e+14
0.065,0,0,-0,1.00098e+15,1.00396e+14
0.0675,0,0,-0,9.76276e+14,9.88437e+13
0.07,0,0,-0,9.82008e+14,1.00461e+14
0.0725,0,0,-0,1.01499e+15,9.84831e+13
0.075,0,0,-0,9.90374e+14,9.72121e+13
0.0775,0,0,-0,1.03597e+15,9.7048e+13
0.08,0,0,-0,1.00959e+15,9.65778e+13
0.0825,0,0,-0,1.00964e+15,9.50474e+13
0.085,0,0,-0,9.70444e+14,8.85303e+13
0.0875,0,0,-0,9.95037e+14,9.66496e+13
0.09,0,0,-0,1.00662e+15,9.48473e+13
0.0925,0,0,-0,9.85271e+14,9.34822e+13
0.095,0,0,-0,1.00493e+15,9.85502e+13
0.0975,0,0,-0,1.01523e+15,1.03082e+14
0.1,0,0,0,9.17176e+14,1.02841e+14
