x,phi,rho,ef,ndi,nde
0,0,0,0,9.12086e+14,1.3183e+14
0.0025,0,0,-0,1.01947e+15,1.39005e+14
0.005,0,0,-0,9.99875e+14,1.37204e+14
0.0075,0,0,-0,1.00118e+15,1.31105e+14
0.01,0,0,-0,9.88809e+14,1.29076e+14
0.0125,0,0,-0,9.95657e+14,1.29317e+14
0.015,0,0,-0,1.02054e+15,1.28138e+14
0.0175,0,0,-0,1.02725e+15,1.24598e+14
0.02,0,0,-0,9.94364e+14,1.37673e+14
0.0225,0,0,-0,9.9128e+14,1.46875e+14
0.025,0,0,-0,9.92567e+14,1.39919e+14
0.0275,0,0,-0,1.01094e+15,1.31501e+14
0.03,0,0,-0,9.88783e+14,1.28972e+14
0.0325,0,0,-0,9.73388e+14,1.42394e+14
0.035,0,0,-0,9.70944e+14,1.33103e+14
0.0375,0,0,-0,9.86809e+14,1.34419e+14
0.04,0,0,-0,1.00806e+15,1.43207e+14
0.0425,0,0,-0,1.01785e+15,1.34783e+14
0.045,0,0,-0,9.96329e+14,1.40421e+14
0.0475,0,0,-0,1.01424e+15,1.42656e+14
0.05,0,0,-0,1.02534e+15,1.49487e+14
0.0525,0,0,-0,9.89723e+14,1.35966e+14
0.055,0,0,-0,1.00657e+15,1.39045e+14
0.0575,0,0,-0,9.97098e+14,1.42066e+14
0.06,0,0,-0,9.87668e+14,1.3368e+14
0.0625,0,0,-0,9.81292e+14,1.36415e+14
0.065,0,0,-0,1.00018e+15,1.36945e+14
0.0675,0,0,-0,9.77483e+14,1.43187e+14
0.07,0,0,-0,9.82708e+14,1.40761e+14
0.0725,0,0,-0,1.01396e+15,1.33394e+14
0.075,0,0,-0,9.9035e+14,1.35173e+14
0.0775,0,0,-0,1.03524e+15,1.42508e+14
0.08,0,0,-0,1.01045e+15,1.33454e+14
0.0825,0,0,-0,1.00934e+15,1.34783e+14
0.085,0,0,-0,9.71062e+14,1.37547e+14
0.0875,0,0,-0,9.93918e+14,1.3726e+14
0.09,0,0,-0,1.00643e+15,1.26809e+14
0.0925,0,0,-0,9.84806e+14,1.29004e+14
0.095,0,0,-0,1.00574e+15,1.39751e+14
0.0975,0,0,-0,1.0188e+15,1.41956e+14
0.1,0,0,0,9.42906e+14,1.32257e+14
