x,phi,rho,ef,ndi,nde
0,0,0,0,9.47419e+14,2.42319e+14
0.0025,0,0,-0,1.02196e+15,2.37437e+14
0.005,0,0,-0,9.98507e+14,2.33054e+14
0.0075,0,0,-0,1.00098e+15,2.2038e+14
0.01,0,0,-0,9.90345e+14,2.23016e+14
0.0125,0,0,-0,9.96046e+14,2.26683e+14
0.015,0,0,-0,1.02023e+15,2.32801e+14
0.0175,0,0,-0,1.02544e+15,2.3445e+14
0.02,0,0,-0,9.96935e+14,2.30907e+14
0.0225,0,0,-0,9.90727e+14,2.29199e+14
0.025,0,0,-0,9.9045e+14,2.26259e+14
0.0275,0,0,-0,1.01222e+15,2.24445e+14
0.03,0,0,-0,9.88845e+14,2.302e+14
0.0325,0,0,-0,9.72245e+14,2.31097e+14
0.035,0,0,-0,9.7086e+14,2.32934e+14
0.0375,0,0,-0,9.87589e+14,2.30836e+14
0.04,0,0,-0,1.00776e+15,2.28469e+14
0.0425,0,0,-0,1.01815e+15,2.22164e+14
0.045,0,0,-0,9.96348e+14,2.31289e+14
0.0475,0,0,-0,1.01439e+15,2.30616e+14
0.05,0,0,-0,1.02501e+15,2.37661e+14
0.0525,0,0,-0,9.8837e+14,2.47976e+14
0.055,0,0,-0,1.00653e+15,2.37103e+14
0.0575,0,0,-0,9.98978e+14,2.34717e+14
0.06,0,0,-0,9.87106e+14,2.53184e+14
0.0625,0,0,-0,9.81866e+14,2.44138e+14
0.065,0,0,-0,9.9869e+14,2.36774e+14
0.0675,0,0,-0,9.79283e+14,2.29736e+14
0.07,0,0,-0,9.83155e+14,2.40343e+14
0.0725,0,0,-0,1.01288e+15,2.26974e+14
0.075,0,0,-0,9.90744e+14,2.22182e+14
0.0775,0,0,-0,1.03406e+15,2.33269e+14
0.08,0,0,-0,1.01143e+15,2.27023e+14
0.0825,0,0,-0,1.00882e+15,2.3227e+14
0.085,0,0,-0,9.71828e+14,2.3146e+14
0.0875,0,0,-0,9.93492e+14,2.29629e+14
0.09,0,0,-0,1.00533e+15,2.24142e+14
0.0925,0,0,-0,9.84849e+14,2.13375e+14
0.095,0,0,-0,1.00635e+15,2.3273e+14
0.0975,0,0,-0,1.0211e+15,2.23782e+14
0.1,0,0,0,9.72756e+14,2.28272e+14
