x,phi,rho,ef,ndi,nde
0,0,0,0,9.03779e+14,1.28786e+14
0.0025,0,0,-0,1.01853e+15,1.18364e+14
0.005,0,0,-0,1.00036e+15,1.16503e+14
0.0075,0,0,-0,1.00111e+15,1.12591e+14
0.01,0,0,-0,9.88418e+14,1.2319e+14
0.0125,0,0,-0,9.95609e+14,1.16537e+14
0.015,0,0,-0,1.02053e+15,1.18274e+14
0.0175,0,0,-0,1.02779e+15,1.23342e+14
0.02,0,0,-0,9.93752e+14,1.29091e+14
0.0225,0,0,-0,9.91298e+14,1.22013e+14
0.025,0,0,-0,9.93296e+14,1.26346e+14
0.0275,0,0,-0,1.01037e+15,1.18087e+14
0.03,0,0,-0,9.89006e+14,1.14546e+14
0.0325,0,0,-0,9.73565e+14,1.18346e+14
0.035,0,0,-0,9.71013e+14,1.29811e+14
0.0375,0,0,-0,9.86636e+14,1.24519e+14
0.04,0,0,-0,1.00805e+15,1.22503e+14
0.0425,0,0,-0,1.01779e+15,1.21959e+14
0.045,0,0,-0,9.96468e+14,1.27233e+14
0.0475,0,0,-0,1.014e+15,1.26289e+14
0.05,0,0,-0,1.02537e+15,1.19932e+14
0.0525,0,0,-0,9.90404e+14,1.25588e+14
0.055,0,0,-0,1.00633e+15,1.26965e+14
0.0575,0,0,-0,9.96708e+14,1.17569e+14
0.06,0,0,-0,9.87697e+14,1.2404e+14
0.0625,0,0,-0,9.81285e+14,1.35682e+14
0.065,0,0,-0,1.00046e+15,1.34571e+14
0.0675,0,0,-0,9.77088e+14,1.18218e+14
0.07,0,0,-0,9.82506e+14,1.1853e+14
0.0725,0,0,-0,1.01426e+15,1.14474e+14
0.075,0,0,-0,9.90362e+14,1.21954e+14
0.0775,0,0,-0,1.03541e+15,1.22007e+14
0.08,0,0,-0,1.01026e+15,1.25521e+14
0.0825,0,0,-0,1.00942e+15,1.19877e+14
0.085,0,0,-0,9.70932e+14,1.26104e+14
0.0875,0,0,-0,9.94085e+14,1.28978e+14
0.09,0,0,-0,1.0066e+15,1.22914e+14
0.0925,0,0,-0,9.84905e+14,1.18109e+14
0.095,0,0,-0,1.0055e+15,1.15837e+14
0.0975,0,0,-0,1.01795e+15,1.20174e+14
0.1,0,0,0,9.30799e+14,1.12432e+14
