x,phi,rho,ef,ndi,nde
0,0,0,0,9.69979e+14,3.77112e+14
0.0025,0,0,-0,1.02271e+15,3.78391e+14
0.005,0,0,-0,9.97784e+14,3.87789e+14
0.0075,0,0,-0,1.00101e+15,3.94531e+14
0.01,0,0,-0,9.91259e+14,3.82127e+14
0.0125,0,0,-0,9.96388e+14,4.03698e+14
0.015,0,0,-0,1.01962e+15,3.91941e+14
0.0175,0,0,-0,1.02454e+15,3.88648e+14
0.02,0,0,-0,9.98631e+14,3.8119e+14
0.0225,0,0,-0,9.9032e+14,4.09321e+14
0.025,0,0,-0,9.89044e+14,4.05199e+14
0.0275,0,0,-0,1.01303e+15,4.02231e+14
0.03,0,0,-0,9.88834e+14,4.15924e+14
0.0325,0,0,-0,9.71637e+14,4.13673e+14
0.035,0,0,-0,9.70962e+14,4.08194e+14
0.0375,0,0,-0,9.87917e+14,4.10463e+14
0.04,0,0,-0,1.00747e+15,4.13592e+14
0.0425,0,0,-0,1.01838e+15,4.13475e+14
0.045,0,0,-0,9.96679e+14,4.07588e+14
0.0475,0,0,-0,1.01427e+15,4.11957e+14
0.05,0,0,-0,1.02445e+15,3.99564e+14
0.0525,0,0,-0,9.87983e+14,4.13199e+14
0.055,0,0,-0,1.00617e+15,4.18314e+14
0.0575,0,0,-0,1.00053e+15,4.27272e+14
0.06,0,0,-0,9.86337e+14,4.12261e+14
0.0625,0,0,-0,9.82632e+14,4.18976e+14
0.065,0,0,-0,9.97716e+14,4.08408e+14
0.0675,0,0,-0,9.80441e+14,4.09719e+14
0.07,0,0,-0,9.83147e+14,4.19561e+14
0.0725,0,0,-0,1.01203e+15,4.13001e+14
0.075,0,0,-0,9.91721e+14,4.07111e+14
0.0775,0,0,-0,1.03261e+15,4.02685e+14
0.08,0,0,-0,1.0124e+15,4.03544e+14
0.0825,0,0,-0,1.00831e+15,3.91709e+14
0.085,0,0,-0,9.7237e+14,3.8385e+14
0.0875,0,0,-0,9.93426e+14,3.78695e+14
0.09,0,0,-0,1.00435e+15,3.91208e+14
0.0925,0,0,-0,9.85134e+14,3.96005e+14
0.095,0,0,-0,1.0066e+15,3.79914e+14
0.0975,0,0,-0,1.02211e+15,3.63085e+14
0.1,0,0,0,9.94501e+14,3.82867e+14
