ts,x1,y1,z1,x2,y2,z2,u1,v1,w1,u2,v2,w2
46,0.234625,0.0200095,0,0.765375,-9.45292e-06,0,49.804,0.00561045,0,-49.804,-0.00561045,0
47,0.239604,0.02001,0,0.760396,-1.0044e-05,0,49.7961,0.00591067,0,-49.7961,-0.00591067,0
48,0.244583,0.0200107,0,0.755417,-1.06668e-05,0,49.7878,0.00622843,0,-49.7878,-0.00622843,0
49,0.249561,0.0200113,0,0.750439,-1.13233e-05,0,49.7792,0.00656514,0,-49.7792,-0.00656514,0
50,0.254538,0.020012,0,0.745462,-1.20156e-05,0,49.7703,0.00692231,0,-49.7703,-0.00692231,0
51,0.259514,0.0200127,0,0.740486,-1.27457e-05,0,49.761,0.00730165,0,-49.761,-0.00730165,0
52,0.264489,0.0200135,0,0.735511,-1.35162e-05,0,49.7513,0.007705,0,-49.7513,-0.007705,0
53,0.269464,0.0200143,0,0.730536,-1.43297e-05,0,49.7412,0.00813445,0,-49.7412,-0.00813445,0
54,0.274437,0.0200152,0,0.725563,-1.51889e-05,0,49.7307,0.00859229,0,-49.7307,-0.00859229,0
55,0.279409,0.0200161,0,0.720591,-1.6097e-05,0,49.7196,0.00908106,0,-49.7196,-0.00908106,0
56,0.284379,0.0200171,0,0.715621,-1.70574e-05,0,49.7081,0.0096036,0,-49.7081,-0.0096036,0
57,0.289349,0.0200181,0,0.710651,-1.80737e-05,0,49.6961,0.0101631,0,-49.6961,-0.0101631,0
58,0.294317,0.0200192,0,0.705683,-1.915e-05,0,49.6835,0.0107631,0,-49.6835,-0.0107631,0
59,0.299284,0.0200203,0,0.700716,-2.02908e-05,0,49.6702,0.0114076,0,-49.6702,-0.0114076,0
60,0.30425,0.0200215,0,0.69575,-2.15009e-05,0,49.6564,0.0121011,0,-49.6564,-0.0121011,0
61,0.309214,0.0200228,0,0.690786,-2.27857e-05,0,49.6418,0.0128487,0,-49.6418,-0.0128487,0
62,0.314177,0.0200242,0,0.685823,-2.41514e-05,0,49.6264,0.0136561,0,-49.6264,-0.0136561,0
63,0.319138,0.0200256,0,0.680862,-2.56043e-05,0,49.6102,0.0145298,0,-49.6102,-0.0145298,0
64,0.324097,0.0200272,0,0.675903,-2.71521e-05,0,49.5931,0.0154774,0,-49.5931,-0.0154774,0
65,0.329055,0.0200288,0,0.670945,-2.88028e-05,0,49.575,0.0165073,0,-49.575,-0.0165073,0
66,0.33401,0.0200306,0,0.66599,-3.05657e-05,0,49.5559,0.0176292,0,-49.5559,-0.0176292,0
67,0.338964,0.0200325,0,0.661036,-3.24512e-05,0,49.5356,0.0188545,0,-49.5356,-0.0188545,0
68,0.343915,0.0200345,0,0.656085,-3.44708e-05,0,49.5141,0.0201962,0,-49.5141,-0.0201962,0
69,0.348864,0.0200366,0,0.651136,-3.66377e-05,0,49.4912,0.0216694,0,-49.4912,-0.0216694,0
70,0.353811,0.020039,0,0.646189,-3.89669e-05,0,49.4667,0.0232917,0,-49.4667,-0.0232917,0
71,0.358755,0.0200415,0,0.641245,-4.14753e-05,0,49.4406,0.0250841,0,-49.4406,-0.0250841,0
72,0.363696,0.0200442,0,0.636304,-4.41824e-05,0,49.4127,0.0270707,0,-49.4127,-0.0270707,0
73,0.368635,0.0200471,0,0.631365,-4.71105e-05,0,49.3827,0.0292808,0,-49.3827,-0.0292808,0
74,0.37357,0.0200503,0,0.62643,-5.02853e-05,0,49.3504,0.0317487,0,-49.3504,-0.0317487,0
75,0.378501,0.0200537,0,0.621499,-5.37369e-05,0,49.3156,0.034516,0,-49.3156,-0.034516,0
76,0.383429,0.0200575,0,0.616571,-5.75002e-05,0,49.278,0.0376327,0,-49.278,-0.0376327,0
77,0.388353,0.0200616,0,0.611647,-6.16162e-05,0,49.2371,0.0411598,0,-49.2371,-0.0411598,0
78,0.393272,0.0200661,0,0.606728,-6.61334e-05,0,49.1926,0.0451721,0,-49.1926,-0.0451721,0
79,0.398186,0.0200711,0,0.601814,-7.11096e-05,0,49.1439,0.0497619,0,-49.1439,-0.0497619,0
80,0.403095,0.0200766,0,0.596905,-7.6614e-05,0,49.0905,0.0550445,0,-49.0905,-0.0550445,0
81,0.407999,0.0200827,0,0.592001,-8.27306e-05,0,49.0316,0.0611653,0,-49.0316,-0.0611653,0
82,0.412895,0.0200896,0,0.587105,-8.95615e-05,0,48.9664,0.0683094,0,-48.9664,-0.0683094,0
83,0.417785,0.0200972,0,0.582215,-9.72331e-05,0,48.8939,0.0767156,0,-48.8939,-0.0767156,0
84,0.422666,0.0201059,0,0.577334,-0.000105903,0,48.8126,0.0866954,0,-48.8126,-0.0866954,0
85,0.427538,0.0201158,0,0.572462,-0.000115769,0,48.721,0.0986619,0,-48.721,-0.0986619,0
86,0.4324,0.0201271,0,0.5676,-0.000127086,0,48.6171,0.113171,0,-48.6171,-0.113171,0
87,0.437249,0.0201402,0,0.562751,-0.000140184,0,48.4982,0.130983,0,-48.4982,-0.130983,0
88,0.442086,0.0201555,0,0.557914,-0.0001555,0,48.361,0.153161,0,-48.361,-0.153161,0
89,0.446906,0.0201736,0,0.553094,-0.000173623,0,48.2009,0.181225,0,-48.2009,-0.181225,0
90,0.451707,0.0201954,0,0.548293,-0.000195362,0,48.0121,0.217397,0,-48.0121,-0.217397,0
91,0.456486,0.0202219,0,0.543514,-0.000221865,0,47.7865,0.265027,0,-47.7865,-0.265027,0
92,0.461237,0.0202548,0,0.538763,-0.000254797,0,47.5128,0.329321,0,-47.5128,-0.329321,0
