ts,x1,y1,z1,x2,y2,z2,u1,v1,w1,u2,v2,w2
0,0.0049991,0.02,0,0.995,-1.79648e-09,0,49.991,0.000179648,0,-49.9991,-1.79648e-05,0
1,0.00999729,0.0200001,0,0.99,-5.44441e-09,0,49.9819,0.000364793,0,-49.9982,-3.64793e-05,0
2,0.0149945,0.0200001,0,0.985001,-1.1001e-08,0,49.9725,0.00055566,0,-49.9973,-5.5566e-05,0
3,0.0199908,0.0200002,0,0.980001,-1.85259e-08,0,49.963,0.000752488,0,-49.9963,-7.52488e-05,0
4,0.0249862,0.0200003,0,0.975001,-2.80812e-08,0,49.9532,0.000955526,0,-49.9953,-9.55526e-05,0
5,0.0299805,0.0200004,0,0.970002,-3.97315e-08,0,49.9433,0.00116504,0,-49.9943,-0.000116504,0
6,0.0349738,0.0200005,0,0.965003,-5.35446e-08,0,49.9331,0.0013813,0,-49.9933,-0.00013813,0
7,0.0399661,0.0200007,0,0.960003,-6.95907e-08,0,49.9227,0.00160461,0,-49.9923,-0.000160461,0
8,0.0449573,0.0200009,0,0.955004,-8.79434e-08,0,49.9121,0.00183527,0,-49.9912,-0.000183527,0
9,0.0499474,0.0200011,0,0.950005,-1.0868e-07,0,49.9013,0.00207361,0,-49.9901,-0.000207361,0
10,0.0549364,0.0200013,0,0.945006,-1.31879e-07,0,49.8902,0.00231998,0,-49.989,-0.000231998,0
11,0.0599243,0.0200016,0,0.940008,-1.57627e-07,0,49.8788,0.00257473,0,-49.9879,-0.000257473,0
12,0.064911,0.0200019,0,0.935009,-1.86009e-07,0,49.8672,0.00283825,0,-49.9867,-0.000283825,0
13,0.0698966,0.0200022,0,0.93001,-2.17119e-07,0,49.8554,0.00311094,0,-49.9855,-0.000311094,0
14,0.0748809,0.0200025,0,0.925012,-2.51051e-07,0,49.8432,0.00339325,0,-49.9843,-0.000339325,0
15,0.079864,0.0200029,0,0.920014,-2.87907e-07,0,49.8308,0.00368561,0,-49.9831,-0.000368561,0
16,0.0848458,0.0200033,0,0.915015,-3.27792e-07,0,49.8181,0.00398852,0,-49.9818,-0.000398852,0
17,0.0898263,0.0200037,0,0.910017,-3.70817e-07,0,49.8051,0.00430249,0,-49.9805,-0.000430249,0
18,0.0948054,0.0200042,0,0.905019,-4.17098e-07,0,49.7917,0.00462806,0,-49.9792,-0.000462806,0
19,0.0997832,0.0200047,0,0.900022,-4.66756e-07,0,49.778,0.0049658,0,-49.9778,-0.00049658,0
20,0.10476,0.0200052,0,0.895024,-5.19919e-07,0,49.764,0.00531633,0,-49.9764,-0.000531633,0
21,0.109735,0.0200058,0,0.890027,-5.76722e-07,0,49.7496,0.00568031,0,-49.975,-0.000568031,0
22,0.114708,0.0200064,0,0.885029,-6.37306e-07,0,49.7349,0.00605842,0,-49.9735,-0.000605842,0
23,0.11968,0.020007,0,0.880032,-7.01821e-07,0,49.7197,0.00645141,0,-49.972,-0.000645141,0
24,0.12465,0.0200077,0,0.875035,-7.70421e-07,0,49.7042,0.00686007,0,-49.9704,-0.000686007,0
25,0.129619,0.0200084,0,0.870038,-8.43274e-07,0,49.6883,0.00728523,0,-49.9688,-0.000728523,0
26,0.134587,0.0200092,0,0.865041,-9.20551e-07,0,49.6719,0.00772779,0,-49.9672,-0.000772779,0
27,0.139552,0.02001,0,0.860045,-1.00244e-06,0,49.6551,0.00818872,0,-49.9655,-0.000818872,0
28,0.144516,0.0200109,0,0.855048,-1.08913e-06,0,49.6378,0.00866904,0,-49.9638,-0.000866904,0
29,0.149478,0.0200118,0,0.850052,-1.18083e-06,0,49.62,0.00916986,0,-49.962,-0.000916986,0
30,0.154438,0.0200128,0,0.845056,-1.27775e-06,0,49.6017,0.00969234,0,-49.9602,-0.000969234,0
31,0.159396,0.0200138,0,0.84006,-1.38013e-06,0,49.5829,0.0102378,0,-49.9583,-0.00102378,0
32,0.164353,0.0200149,0,0.835065,-1.4882e-06,0,49.5635,0.0108075,0,-49.9564,-0.00108075,0
33,0.169307,0.020016,0,0.830069,-1.60223e-06,0,49.5436,0.0114029,0,-49.9544,-0.00114029,0
34,0.174259,0.0200172,0,0.825074,-1.72249e-06,0,49.523,0.0120257,0,-49.9523,-0.00120257,0
35,0.179209,0.0200185,0,0.820079,-1.84926e-06,0,49.5018,0.0126775,0,-49.9502,-0.00126775,0
36,0.184157,0.0200198,0,0.815084,-1.98287e-06,0,49.48,0.0133601,0,-49.948,-0.00133601,0
37,0.189103,0.0200212,0,0.81009,-2.12362e-06,0,49.4574,0.0140755,0,-49.9457,-0.00140755,0
38,0.194047,0.0200227,0,0.805095,-2.27188e-06,0,49.4341,0.0148259,0,-49.9434,-0.00148259,0
