ts,x1,y1,z1,x2,y2,z2,u1,v1,w1,u2,v2,w2
0,0.0049991,0.02,0,0.995001,-1.79648e-08,0,49.991,0.000179648,0,-49.991,-0.000179648,0
1,0.00999729,0.0200001,0,0.990003,-5.44441e-08,0,49.9819,0.000364793,0,-49.9819,-0.000364793,0
2,0.0149945,0.0200001,0,0.985005,-1.1001e-07,0,49.9725,0.000555659,0,-49.9725,-0.000555659,0
3,0.0199908,0.0200002,0,0.980009,-1.85258e-07,0,49.963,0.000752485,0,-49.963,-0.000752485,0
4,0.0249862,0.0200003,0,0.975014,-2.8081e-07,0,49.9532,0.000955519,0,-49.9532,-0.000955519,0
5,0.0299805,0.0200004,0,0.97002,-3.97313e-07,0,49.9433,0.00116503,0,-49.9433,-0.00116503,0
6,0.0349738,0.0200005,0,0.965026,-5.35441e-07,0,49.9331,0.00138128,0,-49.9331,-0.00138128,0
7,0.0399661,0.0200007,0,0.960034,-6.95899e-07,0,49.9227,0.00160458,0,-49.9227,-0.00160458,0
8,0.0449573,0.0200009,0,0.955043,-8.79422e-07,0,49.9121,0.00183523,0,-49.9121,-0.00183523,0
9,0.0499474,0.0200011,0,0.950053,-1.08678e-06,0,49.9013,0.00207355,0,-49.9013,-0.00207355,0
10,0.0549364,0.0200013,0,0.945064,-1.31876e-06,0,49.8902,0.00231988,0,-49.8902,-0.00231988,0
11,0.0599243,0.0200016,0,0.940076,-1.57622e-06,0,49.8788,0.0025746,0,-49.8788,-0.0025746,0
12,0.064911,0.0200019,0,0.935089,-1.86003e-06,0,49.8672,0.00283808,0,-49.8672,-0.00283808,0
13,0.0698966,0.0200022,0,0.930103,-2.1711e-06,0,49.8554,0.00311072,0,-49.8554,-0.00311072,0
14,0.0748809,0.0200025,0,0.925119,-2.5104e-06,0,49.8432,0.00339296,0,-49.8432,-0.00339296,0
15,0.079864,0.0200029,0,0.920136,-2.87892e-06,0,49.8308,0.00368525,0,-49.8308,-0.00368525,0
16,0.0848458,0.0200033,0,0.915154,-3.27773e-06,0,49.8181,0.00398806,0,-49.8181,-0.00398806,0
17,0.0898263,0.0200037,0,0.910174,-3.70792e-06,0,49.8051,0.00430192,0,-49.8051,-0.00430192,0
18,0.0948055,0.0200042,0,0.905195,-4.17066e-06,0,49.7917,0.00462735,0,-49.7917,-0.00462735,0
19,0.0997833,0.0200047,0,0.900217,-4.66715e-06,0,49.7781,0.00496494,0,-49.7781,-0.00496494,0
20,0.10476,0.0200052,0,0.89524,-5.19868e-06,0,49.764,0.00531529,0,-49.764,-0.00531529,0
21,0.109735,0.0200058,0,0.890265,-5.76659e-06,0,49.7497,0.00567905,0,-49.7497,-0.00567905,0
22,0.114708,0.0200064,0,0.885292,-6.37228e-06,0,49.7349,0.00605692,0,-49.7349,-0.00605692,0
23,0.11968,0.020007,0,0.88032,-7.01724e-06,0,49.7198,0.00644962,0,-49.7198,-0.00644962,0
24,0.124651,0.0200077,0,0.875349,-7.70303e-06,0,49.7043,0.00685794,0,-49.7043,-0.00685794,0
25,0.129619,0.0200084,0,0.870381,-8.43131e-06,0,49.6884,0.00728271,0,-49.6884,-0.00728271,0
26,0.134587,0.0200092,0,0.865413,-9.20379e-06,0,49.672,0.00772483,0,-49.672,-0.00772483,0
