x,y
-9.09272e-06,1.5976e-05
-9.18216e-06,1.60305e-05
-9.27192e-06,1.60845e-05
-9.36201e-06,1.61381e-05
-9.45241e-06,1.61912e-05
-9.54313e-06,1.62439e-05
-9.63416e-06,1.62962e-05
-9.72551e-06,1.63479e-05
-9.81716e-06,1.63992e-05
-9.90912e-06,1.64501e-05
-1.00014e-05,1.65005e-05
-1.0094e-05,1.65504e-05
-1.01868e-05,1.65999e-05
-1.028e-05,1.66489e-05
-1.03735e-05,1.66974e-05
-1.04672e-05,1.67455e-05
-1.05613e-05,1.67931e-05
-1.06556e-05,1.68402e-05
-1.07502e-05,1.68869e-05
-1.08451e-05,1.6933e-05
-1.09403e-05,1.69788e-05
-1.10358e-05,1.7024e-05
-1.11315e-05,1.70687e-05
-1.12275e-05,1.7113e-05
-1.13238e-05,1.71568e-05
-1.14203e-05,1.72001e-05
-1.15172e-05,1.72429e-05
-1.16143e-05,1.72853e-05
-1.17116e-05,1.73271e-05
-1.18092e-05,1.73685e-05
-1.19071e-05,1.74094e-05
-1.20052e-05,1.74498e-05
-1.21036e-05,1.74897e-05
-1.22022e-05,1.75291e-05
-1.23011e-05,1.7568e-05
-1.24002e-05,1.76064e-05
-1.24995e-05,1.76443e-05
-1.25991e-05,1.76818e-05
-1.2699e-05,1.77187e-05
-1.2799e-05,1.77551e-05
-1.28993e-05,1.7791e-05
-1.29999e-05,1.78265e-05
-1.31006e-05,1.78614e-05
-1.32016e-05,1.78958e-05
-1.33028e-05,1.79297e-05
-1.34042e-05,1.79631e-05
-1.35059e-05,1.7996e-05
-1.36077e-05,1.80284e-05
-1.37098e-05,1.80603e-05
-1.38121e-05,1.80916e-05
-1.39146e-05,1.81225e-05
-1.40172e-05,1.81528e-05
-1.41201e-05,1.81826e-05
-1.42232e-05,1.8212e-05
-1.43265e-05,1.82408e-05
-1.443e-05,1.8269e-05
-1.45337e-05,1.82968e-05
-1.46375e-05,1.8324e-05
-1.47416e-05,1.83508e-05
-1.48458e-05,1.8377e-05
-1.49502e-05,1.84026e-05
-1.50548e-05,1.84278e-05
-1.51596e-05,1.84524e-05
-1.52645e-05,1.84765e-05
-1.53697e-05,1.85001e-05
-1.54749e-05,1.85232e-05
-1.55804e-05,1.85457e-05
-1.5686e-05,1.85677e-05
-1.57918e-05,1.85892e-05
-1.58977e-05,1.86101e-05
-1.60038e-05,1.86305e-05
