x,v
0.0793586,-215348
0.0621729,-74266.6
0.0860865,-27677.2
0.0322206,367755
0.0800373,385530
0.0554297,127354
0.0101928,58867.4
0.0888514,606343
0.0674303,-86128.3
0.00449328,-362058
0.0382344,-269170
0.0150775,166495
0.00647017,158261
0.0765936,361686
0.00688209,-16573.9
0.0863606,-355637
0.0686921,212649
0.0685144,-95248.7
0.043005,50435.5
0.0645116,-164464
0.0152275,607935
0.0193067,-459646
0.0240297,441591
0.0732996,-56691.7
0.00999494,-318158
0.0428586,283384
0.0570696,143461
0.0615031,-19074
0.0830698,-246420
0.017613,102942
0.0130347,-130797
0.0881675,2691.96
0.00300207,214703
0.0892168,-71704.6
0.0802788,40137.6
0.0406726,-543878
0.0554326,-50511.7
0.0525914,103886
0.0155406,-91709.7
0.0974796,-378234
0.0500414,5534.93
0.0231358,-357411
0.0144295,48796.4
0.0549399,-57516.1
0.0133984,-106444
0.0830974,-266473
0.0556264,-436057
0.0127781,-129501
0.0986388,235873
0.0070565,-198866
0.00960772,-353046
0.0579408,396877
0.0689624,129380
0.0168444,131786
0.0707834,-217587
0.0437374,26747
0.0679114,224489
0.0879831,259842
0.0346772,-152321
0.0955278,425403
0.00829586,-53486.4
0.0317766,-347243
0.0497192,-364083
0.00349297,139257
0.0584169,-39725.1
0.0170369,-282783
0.0364727,-46337
0.0571606,-86399.8
0.0321655,213306
0.030158,98743
0.0735661,-40124.1
0.0451559,-343243
0.0353599,59570
0.0286345,-34142.5
0.0298287,-185078
0.0879088,108617
0.0754536,-470928
0.0088852,-478220
0.0022115,160291
0.06478,187201
0.0191203,-9576.69
0.0199965,-327396
0.0634175,-338482
0.0781254,-81206.4
0.0733364,-306851
0.0162263,468723
0.0225456,-109313
0.00860519,584528
0.0138062,45153.5
0.0607868,-42088
0.0283788,-110469
0.092614,-41548.9
0.0855114,-273776
0.0950385,130023
0.0713061,159872
0.0721777,-279394
0.00248965,-125817
0.00570287,-145869
0.0331654,469447
0.0904721,-192902
0.0793449,-240708
0.0122538,356370
0.00450708,538219
0.0290606,103024
0.0356251,-378402
0.0232609,278379
0.096533,-177137
0.0948462,183807
0.0163982,389407
0.0516905,320200
0.0199599,-3669.51
0.0303057,145753
0.0208538,-37006.7
0.0691446,-291244
0.0886653,225562
0.00861374,-65836.8
0.0164906,-158203
0.0566108,-68435.3
0.0532024,304986
0.0796246,-302774
0.0584315,524425
0.0621476,-145514
0.0656817,-288414
0.0914748,92518.2
0.0955546,-183233
0.0600481,-100260
0.0337393,-217455
0.0448918,-339278
0.0398629,173324
0.0293168,239078
0.0198492,-118016
0.0683216,137463
0.0625525,323401
0.0153266,172183
0.0772405,-318891
0.0503307,-280143
0.0747543,-103015
0.0325353,-391303
0.0484387,302135
0.0508284,-311132
0.00644941,-20907
0.00262802,290194
0.0194575,-309771
0.0268669,-295605
0.00433068,215363
0.0414457,-243586
0.0277921,-1120.47
0.0112065,424402
0.043236,-264866
0.0577599,-19236.8
0.0909372,277462
0.0400674,-39144.6
0.0378296,21345.8
0.0648445,315270
0.0174704,127873
0.0233167,154589
0.00657432,-170972
0.0896209,-142666
0.0933399,-92384.9
0.0653481,158430
0.0873513,-491841
0.0105875,333339
0.0290548,-203723
0.0882245,-62613.9
0.0429112,-7823.74
0.0714549,-190800
0.0611886,-22713.9
