x,v
0.0986651,-234776
0.0670859,-326981
0.0963459,185443
0.0883978,-20465.7
0.0249617,24323.3
0.016083,-222674
0.0859179,-6291.4
0.0581732,27874.9
0.0385638,-508741
0.0451351,132771
0.095545,148081
0.0947017,-163683
0.0514871,-350704
0.0868807,12156.3
0.0851054,350517
0.0789524,283729
0.0291848,-334975
0.00156282,137369
0.0947227,165625
0.0233303,240622
0.0978419,415936
0.067909,-466987
0.00109319,92083.4
0.0324504,-9814.13
0.0223989,-316454
0.0201184,-382960
0.0687673,-49258.7
0.030869,-312577
0.0595877,240624
0.0248898,-38060.6
0.0774578,91038.9
0.0780531,178263
0.046379,122878
0.0254616,-10009
0.0600593,-25340.9
0.0903363,-87952.4
0.0350416,125093
0.0696461,424225
0.0525601,95271.2
0.00355402,-172891
0.095909,263097
0.0154802,3155.73
0.0179231,-155354
0.0216939,60055.6
0.0242726,-192150
0.0418062,191658
0.0243388,-483696
0.0515303,-114381
0.0890317,-128104
0.074567,-123926
0.0978396,-218098
0.0279759,504024
0.0640115,388055
0.0772057,-30071.1
0.000717679,82836.4
0.044811,111429
0.0797738,-280751
0.0952331,347752
0.0413204,247080
0.0637519,88266.7
0.0721691,318889
0.0706022,221793
0.0370481,-289888
0.0460966,23793.7
0.0302691,-25377.7
0.0820117,32295.5
0.0177776,-268262
0.0743489,-335470
0.0165453,176159
0.0363895,-121540
0.00708023,-58764.3
0.0147873,245365
0.0326916,288007
0.0624693,-305871
0.0333384,-279720
0.0763101,-80915.2
0.00576513,-244819
0.0168476,-29962.6
0.0464711,-284057
0.0417169,-289580
0.059235,-159888
0.0968014,354995
0.0400518,299034
0.0614582,-142334
0.0892265,10857.8
0.0662883,25747.5
0.0205948,168267
0.0838193,269273
0.0486396,-239376
0.0465707,321789
0.0709314,-63663.8
0.00726153,-274469
0.0327892,504859
0.0463857,147664
0.0355913,-129698
0.0640537,-85296.1
0.0936705,99541.1
0.0345571,96867
0.0420371,164992
0.0291222,548861
0.00781647,83820.5
0.0384298,329083
0.0629097,126283
0.0847924,145230
0.0117555,221964
0.0341772,-28722
0.0930626,-294966
0.0680293,-386020
0.0849924,124198
0.0765249,-394709
0.0829264,-32275.1
0.0487345,110276
0.0184557,49734.1
0.0168268,-401699
0.0168591,-9657.4
0.095749,95015.5
0.0108888,142097
