x,v
0.0397111,742553
0.0632255,-697010
0.0556112,-787169
0.0634211,-688989
0.044539,808332
0.0546697,-801529
0.0367234,691408
0.0367075,690424
0.0637901,-686528
0.058388,-740711
0.0579975,-757429
0.038487,718900
0.036608,685845
0.0664281,-616909
0.0631213,-697268
0.0481406,852705
0.0366058,689083
0.0367992,686090
0.0658334,1.11579e+06
0.036525,682537
0.0632699,-685742
0.045271,816811
0.0391402,730766
0.0642794,-672280
0.0648725,-655947
0.063224,-695729
0.0661659,-615536
0.0584903,-746550
0.0479573,-900551
0.0636366,-691271
0.0643773,-660528
0.066817,-602495
0.0561982,-776094
0.0473768,842336
0.0367995,700584
0.0639276,-680995
0.0367617,682000
0.0388179,723517
0.0367011,698152
0.0652459,-659058
0.0707552,-503160
0.0681398,-565689
0.0675373,-589511
0.0638032,-693480
0.038498,716332
0.0463843,829282
0.0448367,809632
0.0359871,673662
0.037175,688915
0.0670087,-612646
0.0643092,-673592
0.0534983,-815133
0.0376033,697462
0.0640904,-663419
0.0556792,-780818
0.0361827,682908
0.0679609,-573019
0.0420743,772724
0.0364332,691961
0.0640689,-688696
0.0356145,660973
0.0379852,704649
0.0356943,659415
0.0357532,660011
0.0639718,-690031
0.0355979,658104
0.0640578,-680442
0.0380553,705498
0.0355136,661492
0.059024,-737351
0.06796,-557342
0.0354814,654634
0.0401893,745940
0.0471947,837645
0.0353477,653076
0.0354254,652946
0.0593835,-741037
0.0372454,687935
0.0473853,839852
0.0587777,-747067
0.0367706,677550
0.0652291,-642266
0.0452113,812353
0.0455916,817110
0.0640824,-686422
0.0396692,736337
0.0376612,695941
0.0549965,-787479
0.0471184,835606
0.0373791,689351
0.0602568,-717252
0.0349163,643689
0.0350017,649830
0.0619046,-713437
0.0482534,849053
0.0515806,-843818
0.0357106,653250
0.0349025,647311
0.0683098,-577376
0.041664,764740
0.0410907,757173
0.0347313,639894
0.0391073,724636
0.0406906,751429
0.0481381,-891755
0.0500757,869807
0.0665645,-613999
0.0425729,776017
0.0376777,694766
0.064652,-656888
0.0489449,-875280
0.0643899,-676747
0.0620842,-703684
0.0349935,639009
0.034549,634781
0.05978,-727857
0.0684937,-577074
0.0689548,-543737
0.0355114,669514
0.0352205,660727
0.0403866,746092
0.0455076,813803
0.0741801,-403287
0.0389051,719573
0.0348154,634594
0.0553625,-780398
0.0621588,-699607
0.0429929,780316
0.0493814,860869
0.0352051,640458
0.0423394,771476
0.0584387,-749072
0.0345121,628903
0.0669462,-603829
0.0650188,-647792
0.0614275,1.03994e+06
0.069474,-529954
0.0654131,-616696
0.0436043,787720
0.0371177,680498
0.0407665,750349
0.04632,822829
0.0612458,-717304
0.0382172,704124
0.0659749,-631745
0.0480129,843147
0.0531206,897045
0.0354548,670836
0.0337022,617980
0.0380363,699784
0.0664567,-616800
0.0507177,873078
0.034206,636015
0.0637807,-667504
0.0652039,-643124
0.0623151,-704280
0.0400162,-1.00684e+06
0.0373728,685041
0.0336658,620786
0.0352819,666669
0.0346854,650039
0.0687712,-545186
0.0496326,861688
0.0599338,-732677
0.0334348,610579
0.047112,831309
0.0667161,-594955
0.0349199,657322
0.0336653,611771
0.0650864,-647964
0.0500078,-848117
0.0596356,-734411
0.0346667,-1.08526e+06
0.0514462,878180
0.0351586,635541
0.0723122,-455273
0.0636906,-671165
0.0358901,650561
0.0342531,640193
0.0601206,-729797
0.0332751,613571
0.033761,611710
0.0672037,-597717
0.0333848,606161
0.0679223,-580417
0.0341536,616994
0.0594558,-734803
0.0591331,-732134
0.0395298,-1.01993e+06
0.0347752,655326
0.0371416,677868
0.071412,-473812
0.045315,807114
0.0683721,-563708
0.0334377,620792
0.0755947,-362377
0.036847,670965
0.0428876,774522
0.0341342,615383
0.0638161,-678332
0.0722344,1.18282e+06
0.0367499,668528
0.068689,-560657
0.0373845,682764
0.0663625,-614516
0.0327627,594520
0.0633431,-686476
0.0323854,591967
0.0583866,-746186
0.0323403,590577
0.044102,789985
0.0685634,-570774
0.035886,648020
0.0372699,679308
0.0582122,-731958
0.0382264,700128
0.0461253,816000
0.0331,597334
0.0454128,806815
0.0329538,611169
0.0370771,674777
0.0368594,669826
0.0371276,675800
0.0536673,-809161
0.0325028,599476
0.0489467,849840
0.0454391,-938878
0.0642006,-676894
0.073432,-431728
0.0692746,-543274
0.044398,792674
0.0340844,611837
0.0341227,612427
0.0321263,579339
0.0329648,593589
0.0518374,-841938
0.054304,-797493
0.0539842,-808507
0.0492167,852254
0.0742331,-411344
0.0325487,585506
0.0325261,585049
0.0436191,781322
0.032512,584731
0.0504182,864522
0.0313917,567309
0.0710261,-487863
0.0702175,-510307
0.0453461,804025
0.051518,-839876
0.0317221,569151
0.0381824,697243
0.0327078,608374
0.0661857,-598905
0.0328991,613429
0.0424379,764827
0.0444683,-953840
0.0368201,666834
0.0491543,850383
0.0312502,565394
0.0318132,584028
0.0320674,591504
0.0666652,-611827
0.0318071,583983
0.0315296,575579
0.0689683,-543091
0.058236,987194
0.0315817,564559
0.0451424,800486
0.0340766,643214
0.0309169,550847
0.0309855,558293
0.0660206,-622504
0.0476837,831991
0.0524889,882773
0.0311339,554063
0.0367855,665109
0.0537743,900948
0.0370737,671590
0.0323443,600634
0.0315354,577524
0.0735716,-411088
0.0305745,545429
0.0595137,-724395
0.0323008,599903
0.0407831,741943
0.0304985,542989
0.0520946,-838246
0.0324988,581181
0.0361277,649388
0.0626798,-684280
0.0325067,581135
0.0305364,538435
0.0613353,1.03268e+06
0.0658979,-646028
0.032704,584597
0.032137,573580
0.0352295,629290
0.0313418,556381
0.0499306,856661
0.0485023,-883000
0.0679958,-549151
0.0300836,529620
0.0304858,545468
0.0431916,772236
0.0464466,815490
0.0486546,842118
0.0719724,-456139
0.0608941,-705051
0.0302076,536499
0.0315029,579303
0.0345754,615734
0.0302191,538025
0.0327815,614652
0.0636034,-662120
0.0475162,827709
0.0605038,-717571
0.0693846,-552285
0.0328441,616333
0.0318913,591125
0.0335348,633229
0.0408105,740207
0.0753548,-375435
0.0389493,709404
0.0297239,520559
0.0350452,624182
0.0295895,509115
0.0696627,-530772
0.0294385,505006
0.0303623,544301
0.0647322,-664239
0.0330176,621256
0.0697553,-518153
0.065903,-614993
0.0515849,870466
0.0477436,829621
0.0326797,581909
0.0299215,517242
0.0392365,714240
0.0315008,581107
0.0511752,-851719
0.031652,585572
0.0513962,868234
0.0754333,-382072
0.0695056,-538022
0.0290063,494590
0.0289195,489934
0.0430624,768051
0.0451884,796900
0.04157,748657
0.0373434,674459
0.0678217,-558543
0.0413694,746005
0.0711208,1.15774e+06
0.0515399,-838828
0.0291608,493250
0.0392282,713189
0.0711241,-479505
0.0507264,-854732
0.0669894,-581022
0.0285797,479455
0.0379114,686436
0.0297391,524839
0.0596506,1.00544e+06
0.060599,1.01887e+06
0.0286882,478026
0.07396,-410130
0.0617998,-707113
0.0445083,786616
0.0567755,-759438
0.0298781,530855
0.0283019,466205
0.0281514,462015
0.028199,467780
0.0381099,689819
0.0697143,-519480
0.0391141,709856
0.0287815,491477
0.0308098,563046
0.0415408,746072
0.0314031,581091
0.0292708,510021
0.0422113,754317
0.0682391,-556670
0.054842,916727
0.0303868,526439
0.0430204,764851
0.047564,824442
0.0296479,504928
0.0297809,508911
0.0320062,598447
0.0709193,-489636
0.0641438,-648787
0.0606255,-700566
0.0275922,442643
0.0591301,-730169
0.0307418,535538
0.0716799,-462953
0.0672487,-581395
0.0437109,773684
0.0647758,-641787
0.0319079,596380
0.0300102,514867
0.0273092,434122
0.027198,434602
0.0300207,514866
0.0472634,819676
0.0269552,427153
0.0302346,520815
0.0752935,-374365
0.0656799,-643511
0.0287579,493551
0.0648085,-640093
0.051981,869896
0.0685644,-545932
0.0617568,-703279
0.0268517,425413
0.062688,-695998
0.039783,719335
0.0711284,-491368
0.0649959,-642003
0.0266266,416144
0.03945,713405
0.0297987,507355
0.0268599,419596
0.0264518,413319
0.0773487,-319756
0.0267007,423079
0.0421046,749926
0.0275366,450993
0.03366,593833
0.0709888,-498743
0.0525635,875777
0.0381361,687219
0.0689965,-533061
0.0340363,599924
0.026946,432468
0.0358116,634884
0.0701557,-523208
0.0365732,652073
0.0622686,-677350
0.0258669,400505
0.0258215,398875
0.0263181,404614
0.0522902,-816603
0.0738802,-397563
0.027918,446568
0.0284217,483938
0.0257145,397726
0.0676368,-566208
0.0334858,589850
0.0273344,446438
0.0301282,545247
0.048741,-881240
0.0439444,773185
0.0322351,608416
0.052059,-838202
0.0276901,438976
0.05364,890691
0.0615895,-709591
0.0253738,390779
0.0362572,643800
0.0714036,-487025
0.0278697,465265
0.0692514,-536166
0.041776,743043
0.0269322,416764
0.0382094,686640
0.0683996,-547881
0.0251299,387256
0.0249745,383265
0.0707671,-500102
0.0479369,823356
0.0253726,394126
0.0696923,-511750
0.071077,-499150
0.0247328,375053
0.0605669,-727885
0.0312076,542732
0.0454346,791798
0.0617325,-695341
0.0255276,398945
0.0271333,442487
0.0702707,-515122
0.0386246,694089
0.0298764,538455
0.0402934,722539
0.0377507,675880
0.0247623,373403
0.0316388,552417
0.0328493,576947
0.027842,466228
0.0594773,-713840
0.0245511,378103
0.0667801,-587517
0.0247967,383784
0.0280605,474016
0.0588895,-730196
0.050193,-842732
0.0271481,443915
0.0391227,702785
0.0667198,-603906
0.0370049,658918
0.0439047,769582
0.0280945,449026
0.0259248,391171
0.0421966,745851
0.0253087,379832
0.0285861,493403
0.0461669,800156
0.0377302,674649
0.0504289,848732
0.0381431,683234
0.0245108,379675
0.024634,369220
0.0291096,481374
0.0242829,364860
0.0249059,372826
0.0309523,534983
0.0278294,467269
0.0253488,398420
0.0236598,363682
0.0242395,363351
0.0484859,826823
0.026898,437856
0.0239426,359772
0.0672046,-604435
0.042159,743955
0.0716154,-478387
0.0250841,393312
0.0235962,356175
0.0233326,355041
0.0663588,-599315
0.0263427,398638
0.0440751,770176
0.023979,359210
0.0735149,-413011
0.0328714,575504
0.0317112,598016
