x,v
0.0626752,-184180
0.00755911,-143202
0.0257588,118496
0.090992,-107820
0.00930573,-60291.8
0.066799,21153.4
0.08222,-420643
0.0530119,155974
0.0654207,129359
0.059026,-603355
0.0584855,96089.3
0.0395678,212222
0.0228387,161052
0.0695623,-126161
0.0573438,130632
0.0590163,259181
0.096869,102137
0.0240581,17998.7
0.0265615,184140
0.0759911,-271979
0.0770456,112457
0.0743511,-20766.1
0.084417,261892
0.0596781,223603
0.0165748,-334517
0.0296358,156981
0.0693238,-319084
0.0877153,-200621
0.0396454,134989
0.0200243,157869
0.0267602,337999
0.0644715,-101713
0.0843312,-179242
0.0551855,588035
0.0472302,-52224.1
0.0665457,-120623
0.00896893,191585
0.0773951,49411.7
0.0933695,-48963.1
0.02395,-114552
0.0626101,134097
0.0777722,-113397
0.0173852,-230039
0.0955095,-39816.1
0.0742445,116000
0.0213919,-196332
0.0610773,-236299
0.0778509,43363.4
0.0892554,-68168
0.0123217,140061
0.0626347,-75056.8
0.0489161,-144915
0.045199,27677
0.0113767,-82079.8
0.0311955,168167
0.0952275,123423
0.0747759,-327520
0.0194853,-213890
0.0863426,405466
0.0822212,-102847
0.0829223,-119952
0.0710693,-1511.68
0.0882008,-263626
0.0685818,-137170
0.0164641,-195694
0.00315416,-9861.7
0.0854864,-416358
0.0627336,52023.1
0.0260454,-29529.7
0.023364,-412098
0.00584661,-75124.7
0.043758,320259
0.00806516,279269
0.0644623,111299
0.00552475,-253883
0.0323338,-123174
0.0957198,363544
0.0752153,-176801
0.0640103,-18189.7
0.00582877,-209486
0.004112,-81507.9
0.0829677,1824.07
0.0501622,190356
0.0195552,-90687.2
0.0256586,-428764
0.0247748,91275.6
0.0844717,-113242
0.0769204,209236
0.0430014,-177416
0.0138738,107243
0.0664072,-183345
0.0779572,-35111.9
0.0203735,109020
0.0665478,31455.5
0.0741033,-200809
0.0601535,-211490
0.0505844,554646
0.0223221,43988.2
0.0534075,14614.1
0.0313042,-36464.3
0.0798081,-290889
0.0402957,54338.4
0.0226412,255587
0.0869128,-160895
0.0970334,-453029
0.0518655,-42844.9
0.0935032,-41612.3
0.0539176,-318964
0.0380426,-240136
0.0450843,-227603
0.0562392,-247534
0.0590818,256611
0.0379938,97769.4
0.0592682,106340
0.0534522,377160
0.0293934,-12921.2
0.037946,178913
0.0727776,182327
0.0796794,130254
0.0886988,454267
0.0872256,241120
0.0162987,-487070
0.0301179,117449
0.0707158,-327366
0.0171534,-154007
0.00189115,-55811
0.0510976,347781
0.0139563,-225527
0.0680764,-101771
0.022453,67165
0.0403208,426669
0.0198601,101380
0.0320205,192011
0.080343,263666
0.0881525,77563.5
0.0242294,16152.2
0.023231,-335223
0.0897855,-357038
0.0254934,-539347
0.063653,359631
0.0915315,-37731.2
0.0192734,195561
0.0160361,-429954
0.0688636,19725.8
0.0235805,276343
0.0334597,-192211
0.00864705,253453
0.0460709,-308974
0.0164974,120406
0.0572735,-524403
0.0591196,212215
0.0810625,382434
0.0170766,-316441
0.0157914,-147850
0.0927631,307992
0.0280541,16354.3
0.0492796,-61833.3
0.0421223,176212
0.0358796,257991
0.0791049,-21269.6
0.00845924,30080
0.041693,-162570
0.0797939,441412
0.0933102,289559
0.0359043,-26442.3
0.0135166,-286528
0.0571671,-133825
0.0419483,373360
0.00437505,123161
0.034079,-284856
0.071911,150151
0.0847442,487873
0.0199467,24176.9
0.0580122,-19609.2
0.0483211,-45554.9
0.0748103,53995.9
0.0881347,28880.5
0.0760632,-231491
0.0667682,-205417
0.0144452,2474.42
0.0514579,3681.85
0.0833586,-1762.18
0.0403218,-243750
0.00720385,-173291
0.0984683,92681.3
0.0612123,-304632
0.0579066,449114
0.0295933,-348092
0.0191948,-312366
0.0247848,-113790
0.0292535,-279921
0.0716736,-133980
0.0285495,-105172
0.0938655,-283154
0.0138907,20414.1
0.0919904,-358218
0.0235342,-122433
0.0697365,-49722.5
0.0941742,445486
0.0794802,-138737
0.0662167,-4436.42
0.0682183,-372757
0.0317669,94731.6
0.0840101,-152241
0.0888107,-253118
0.0937569,141933
0.0860839,256547
0.0801838,-274373
0.0750823,108081
0.013188,63729.5
0.0538783,392455
0.0865885,116573
0.0741688,-452251
0.0490314,-428428
0.0771852,335737
0.0341541,-342555
0.0251987,-220787
0.0554646,207631
0.0124468,-52740.9
0.0734869,-143281
0.0969299,-9798.1
0.0407072,224928
0.022443,-179797
0.0789811,7840.39
0.0918385,470356
0.0442925,616247
0.0367472,-148130
0.0619007,291612
0.0787695,-443488
0.0398128,55810.5
0.0466563,-10087.3
0.0627909,125158
0.0386704,-272240
0.0788844,8859.27
0.00439291,271397
0.0202151,-246301
0.0397825,-67282.8
0.0479292,411926
0.0851241,306028
0.0396433,-239976
0.0417253,257340
0.0282169,48460.2
0.0501504,11764.5
0.0243723,48114.9
0.0567552,349591
0.00898321,-58519.3
0.0907847,-136863
0.0242897,-3202.71
0.0768628,87578.5
0.0470279,-276275
0.0996114,-105179
0.0192892,9389.14
0.00921198,-240801
0.0953457,-362293
0.0599513,167282
0.06861,75027.2
0.0460485,-141380
0.0173988,129343
0.0762382,119768
0.0352155,-174687
0.0296256,26716.4
0.0938598,258771
0.0824478,397248
0.0393917,-447555
0.0541896,-7636.92
0.0674001,180941
0.00890492,-225315
0.0872085,-324008
