x,v
0.0996098,930.69
0.0779986,-209.848
0.0319026,-12.5564
0.0295485,-59.0128
0.0389025,-326.995
0.0211965,24.5513
0.0789685,-304.714
0.0127041,645.216
0.0516566,-6.85468
0.0607295,-277.819
0.0153624,-57.4307
0.0546194,-173.028
0.0648364,-95.4821
0.0239608,307.047
0.0864856,-6.45517
0.0476993,-303.621
0.0491792,-474.402
0.0218567,-128.989
0.0268028,223.669
0.0302744,179.358
0.0940765,384.883
0.0873761,22.8111
0.017492,328.096
0.0420404,-314.864
0.0512846,-96.8055
0.0290413,-470.591
0.0297103,-274.395
0.00675368,-18.5367
0.0460336,-271.685
0.0574669,197.838
0.0664419,611.343
0.0261659,178.167
0.0343656,154.313
0.079024,-100.544
0.0865991,116.374
0.0507482,-130.791
0.0659055,337.682
0.0500482,-37.7427
0.0800351,458.32
0.0390372,-94.0593
0.0849924,-84.8683
0.0596579,-91.3855
0.045319,-361.481
0.0790491,-361.537
0.0905968,245.017
0.00881418,-195.827
0.035193,86.2367
0.0810242,-269.328
0.00168133,-601.186
0.0763488,-37.4046
0.0487076,524.882
0.0362343,-88.7755
0.04489,541.127
0.0370211,321.044
0.0136015,538.481
0.0612283,271.043
0.0601957,-302.283
0.0219072,56.5598
0.0838126,-74.1314
0.0232619,655.695
0.077868,417.863
0.00740095,-119.036
0.0927728,91.4145
0.0049268,-12.6484
0.0210685,424.353
0.0974281,-23.6474
0.0637022,-45.9489
0.0364672,-541.644
0.0651842,-88.8116
0.0475884,-71.2865
0.066099,0.0747496
0.0195309,123.98
0.0425694,-46.2123
0.0782067,-117.719
0.0176524,176.195
0.0404484,378.039
0.072444,136.207
0.0152482,111.075
0.00284025,-231.742
0.0295045,-204.26
0.0243572,-209.971
0.00839493,86.8148
0.00789957,-40.7788
0.0333865,241.653
0.0103041,120.191
0.0292953,138.907
0.0264068,-235.455
0.0664543,-87.2563
0.0455794,43.5798
0.0803365,353.448
0.0629269,-175.253
0.0813835,-77.5834
0.0468848,-298.45
0.0486614,231.799
0.028436,240.139
0.00463281,512.182
0.0161622,434.717
0.0966478,466.888
0.0581678,220.486
0.0837294,-56.2818
0.08843,208.723
0.0833371,-438.381
0.0319126,276.394
0.00245529,-307.059
0.0928728,119.134
0.0775491,-129.338
0.082292,-538.441
0.0657348,458.488
0.0820702,-269.652
0.0314073,192.075
0.0881414,60.9874
0.00802785,-114.009
0.00480718,-459.877
0.0642295,-25.4677
0.0555136,640.008
0.0355794,576.205
0.087631,150.587
0.0664193,-126.327
0.0364971,-183.267
0.0661709,-63.6645
0.0825841,358.769
0.0911418,107.103
0.0599756,163.497
0.0116164,-14.7212
0.0847852,-226.305
0.0345464,-470.869
0.00546653,319.126
0.0605293,2.45876
0.00805727,-282.722
0.00455988,-79.6403
0.0683098,-357.824
0.045725,-453.482
0.0915695,-406.052
0.0702229,166.284
0.0130822,-147.289
0.0347098,18.4274
0.0882724,217.363
0.0350213,15.3661
0.0932718,324.623
0.01425,-545.217
0.0557115,289.413
0.0184944,-118.408
0.00672577,-90.1342
0.0500395,309.018
0.0128121,464.934
0.0328502,428.528
0.0567102,188.341
0.0530857,4.96801
0.0735225,17.1468
0.0820543,-167.684
0.0132213,-502.497
0.0832464,150.796
0.0779551,-503.517
0.0921701,-102.403
0.0616409,326.4
0.0241789,367.888
0.0396084,266.916
0.0551044,294.499
0.0355195,-207.622
0.0625834,21.3357
0.0576085,-489.805
0.0487251,145.395
0.0801274,-114.619
0.0626997,-270.273
0.0974924,141.345
0.0441445,491.575
0.0502842,51.864
0.0642144,402.036
0.0141841,252.492
0.0716758,-266.693
0.0771986,195.343
0.0666089,122.245
0.0773231,481.511
0.0746235,-62.1984
0.069706,358.841
0.0831068,63.4727
0.0389374,248.73
0.0463953,-204.369
0.0824396,292.097
0.0487628,79.9442
0.0438583,-518.886
0.0514426,-193.231
0.0310332,-357.651
0.0286226,-2.90596
0.0317178,-374.469
0.0168601,149.136
0.0483539,290.108
0.00915514,79.9228
0.0988349,437.528
0.00977329,-121.685
0.0109479,194.778
0.0603914,-32.2609
0.00808817,-48.8183
0.0992886,995.976
0.0484627,504.542
0.0440978,-163.487
0.0387133,269.601
0.0975718,11.9353
0.0136251,267.116
0.0187141,68.7578
0.086607,112.495
0.0183283,-356.115
0.0264997,-144.282
0.0580961,505.977
0.00160958,-46.8087
0.0996483,617.702
0.0535919,-415.898
0.0441613,110.318
0.0852472,-381.829
0.0618334,-395.318
0.0667986,260.399
0.0964057,183.151
0.0977827,395.675
0.0564319,302.284
0.00174201,138.756
0.0844314,-26.406
0.098692,457.571
0.0756035,11.2733
0.0889707,230.104
0.06336,213.598
0.0289288,306.826
0.0531895,241.278
0.00242486,134.898
0.0939285,-412.125
0.0693987,236.882
0.0378831,239.384
0.0608553,163.602
0.0621016,-209.172
0.0451436,-137.002
0.0137327,278.704
0.0903281,-406.359
0.0772306,-223.638
0.019045,364.106
0.0189284,-80.9051
0.042979,115.397
0.0778603,38.2787
0.0787844,-111.239
0.0821396,185.372
0.0317742,156.087
0.0990509,604.59
0.0272686,-117.769
0.0737863,309.196
0.00254507,-299.052
