t, ft, filtered ft Array, filtered ft Vector
1,0.405921,0.302459,0.302459
1.004,0.581712,0.35282,0.35282
1.00799,0.56816,0.402295,0.402295
1.01199,0.484979,0.450728,0.450728
1.01598,0.569219,0.498207,0.498207
1.01998,0.717056,0.533207,0.533207
1.02398,0.553976,0.53581,0.53581
1.02797,0.544218,0.516483,0.516483
1.03197,0.532762,0.495188,0.495188
1.03596,0.522274,0.482527,0.482527
1.03996,0.384999,0.458959,0.458959
1.04396,0.434551,0.423408,0.423408
1.04795,0.369116,0.393277,0.393277
1.05195,0.333923,0.366441,0.366441
1.05594,0.345705,0.321442,0.321442
1.05994,0.309974,0.296909,0.296909
1.06394,0.325987,0.266216,0.266216
1.06793,0.222541,0.228132,0.228132
1.07193,0.249016,0.201779,0.201779
1.07592,0.0377801,0.141316,0.141316
1.07992,0.252404,0.0744831,0.0744831
1.08392,0.0473808,0.0240663,0.0240663
1.08791,0.0156314,-0.0146949,-0.0146949
1.09191,0.0792262,-0.0476387,-0.0476387
1.0959,-0.331169,-0.1031,-0.1031
1.0999,-0.389456,-0.141177,-0.141177
1.1039,-0.244611,-0.190081,-0.190081
1.10789,-0.100386,-0.241088,-0.241088
1.11189,-0.139842,-0.272547,-0.272547
1.11588,-0.361063,-0.314475,-0.314475
1.11988,-0.381065,-0.330179,-0.330179
1.12388,-0.285532,-0.345877,-0.345877
1.12787,-0.513704,-0.370542,-0.370542
1.13187,-0.330412,-0.411708,-0.411708
1.13586,-0.381987,-0.451031,-0.451031
1.13986,-0.503907,-0.469228,-0.469228
1.14386,-0.562133,-0.480865,-0.480865
1.14785,-0.515931,-0.518939,-0.518939
1.15185,-0.553217,-0.509982,-0.509982
1.15584,-0.572385,-0.513266,-0.513266
1.15984,-0.561231,-0.508564,-0.508564
1.16384,-0.509075,-0.491737,-0.491737
1.16783,-0.704349,-0.479158,-0.479158
1.17183,-0.415177,-0.497324,-0.497324
1.17582,-0.366536,-0.503563,-0.503563
1.17982,-0.330265,-0.502656,-0.502656
1.18382,-0.318812,-0.478896,-0.478896
1.18781,-0.423759,-0.481413,-0.481413
1.19181,-0.715762,-0.450657,-0.450657
1.1958,-0.621838,-0.440848,-0.440848
1.1998,-0.56241,-0.45176,-0.45176
1.2038,-0.299875,-0.445079,-0.445079
1.20779,-0.536757,-0.438124,-0.438124
1.21179,-0.366034,-0.41093,-0.41093
1.21578,-0.307283,-0.368039,-0.368039
1.21978,-0.48657,-0.313508,-0.313508
