t, ft, filtered ft Array, filtered ft Vector
1.50749,-0.436421,-0.454586,-0.454586
1.51149,-0.461351,-0.408475,-0.408475
1.51548,-0.456867,-0.39498,-0.39498
1.51948,-0.414736,-0.401733,-0.401733
1.52348,-0.375791,-0.379102,-0.379102
1.52747,-0.349904,-0.366262,-0.366262
1.53147,-0.317063,-0.351986,-0.351986
1.53546,-0.277999,-0.332286,-0.332286
1.53946,-0.371472,-0.315487,-0.315487
1.54346,-0.356935,-0.296807,-0.296807
1.54745,-0.276835,-0.28441,-0.28441
1.55145,-0.2582,-0.26976,-0.26976
1.55544,-0.219146,-0.252831,-0.252831
1.55944,-0.230283,-0.211832,-0.211832
1.56344,-0.175448,-0.174731,-0.174731
1.56743,-0.252969,-0.150916,-0.150916
1.57143,-0.069941,-0.133493,-0.133493
1.57542,-0.0171295,-0.117704,-0.117704
1.57942,-0.0914967,-0.113422,-0.113422
1.58342,-0.0971847,-0.0425558,-0.0425558
1.58741,-0.11976,0.010658,0.010658
1.59141,-0.145474,0.0151803,0.0151803
1.5954,0.243095,0.0870684,0.0870684
1.5994,0.302556,0.113374,0.113374
1.6034,0.0145263,0.165481,0.165481
1.60739,0.41172,0.238542,0.238542
1.61139,0.0869531,0.237654,0.237654
1.61538,0.24499,0.260574,0.260574
1.61938,0.365954,0.321293,0.321293
1.62338,0.23688,0.31936,0.31936
1.62737,0.462997,0.37199,0.37199
1.63137,0.439557,0.397471,0.397471
1.63536,0.398189,0.401754,0.401754
1.63936,0.455363,0.427748,0.427748
1.64336,0.423358,0.424898,0.424898
1.64735,0.395936,0.420974,0.420974
1.65135,0.418836,0.429839,0.429839
1.65534,0.443045,0.422762,0.422762
1.65934,0.412088,0.440912,0.440912
1.66334,0.460244,0.455966,0.455966
1.66733,0.405826,0.434613,0.434613
1.67133,0.550411,0.448691,0.448691
1.67532,0.501312,0.419167,0.419167
1.67932,0.269366,0.4127,0.4127
1.68332,0.541593,0.391336,0.391336
1.68731,0.205415,0.363765,0.363765
1.69131,0.414978,0.349832,0.349832
1.6953,0.256274,0.326324,0.326324
1.6993,0.35742,0.303086,0.303086
1.7033,0.403778,0.333211,0.333211
1.70729,0.10481,0.292765,0.292765
1.71129,0.378925,0.307265,0.307265
1.71528,0.41629,0.279947,0.279947
1.71928,0.131861,0.259359,0.259359
1.72328,0.357774,0.258327,0.258327
1.72727,0.166194,0.223245,0.223245
1.73127,0.25966,0.175873,0.175873
1.73526,0.0975845,0.160366,0.160366
1.73926,0.133352,0.10733,0.10733
1.74326,0.0846872,0.0753464,0.0753464
1.74725,0.0233072,0.0294368,0.0294368
1.75125,-0.0134765,0.00481835,0.00481835
1.75524,-0.0576893,-0.0368601,-0.0368601
1.75924,-0.0617075,-0.085983,-0.085983
1.76324,-0.0747444,-0.109171,-0.109171
1.76723,-0.158397,-0.156642,-0.156642
1.77123,-0.259173,-0.182085,-0.182085
1.77522,-0.139011,-0.216349,-0.216349
1.77922,-0.345774,-0.240487,-0.240487
1.78322,-0.235789,-0.246487,-0.246487
1.78721,-0.301556,-0.230463,-0.230463
1.79121,-0.24371,-0.269824,-0.269824
1.7952,-0.200395,-0.295866,-0.295866
1.7992,-0.147007,-0.342049,-0.342049
1.8032,-0.414537,-0.33729,-0.33729
1.80719,-0.528069,-0.36084,-0.36084
1.81119,-0.559069,-0.392683,-0.392683
1.81518,-0.268246,-0.42687,-0.42687
1.81918,-0.408554,-0.423002,-0.423002
1.82318,-0.423298,-0.399089,-0.399089
1.82717,-0.386319,-0.380761,-0.380761
1.83117,-0.387458,-0.394041,-0.394041
1.83516,-0.360682,-0.391594,-0.391594
1.83916,-0.430769,-0.384243,-0.384243
1.84316,-0.361208,-0.37962,-0.37962
1.84715,-0.391423,-0.366865,-0.366865
1.85115,-0.371839,-0.354693,-0.354693
1.85514,-0.353959,-0.334746,-0.334746
1.85914,-0.298173,-0.329555,-0.329555
1.86314,-0.275479,-0.323893,-0.323893
1.86713,-0.291144,-0.286647,-0.286647
1.87113,-0.324866,-0.280131,-0.280131
1.87512,-0.351791,-0.268058,-0.268058
1.87912,-0.111118,-0.264991,-0.264991
1.88312,-0.308348,-0.233334,-0.233334
1.88711,-0.213658,-0.197365,-0.197365
1.89111,-0.254015,-0.139525,-0.139525
1.8951,-0.0695433,-0.156133,-0.156133
1.8991,-0.073082,-0.10693,-0.10693
1.9031,0.0530897,-0.0945797,-0.0945797
1.90709,-0.227371,-0.077698,-0.077698
1.91109,0.0360675,-0.0434323,-0.0434323
1.91508,-0.127203,-0.0164176,-0.0164176
1.91908,-0.135843,-0.0189392,-0.0189392
1.92308,0.170317,0.0248789,0.0248789
1.92707,0.11602,0.0426452,0.0426452
1.93107,0.0354392,0.0882597,0.0882597
1.93506,0.079355,0.139279,0.139279
1.93906,0.160432,0.14824,0.14824
1.94306,0.192099,0.165015,0.165015
1.94705,0.22129,0.204139,0.204139
1.95105,0.233047,0.234332,0.234332
1.95504,0.233442,0.255173,0.255173
1.95904,0.30931,0.262916,0.262916
