t, ft, filtered ft Array, filtered ft Vector
1,0.414598,0.299365,0.299365
1.004,0.483495,0.563705,0.563705
1.00799,0.79302,0.529969,0.529969
1.01199,0.313391,0.56226,0.56226
1.01598,0.580367,0.456089,0.456089
1.01998,0.474508,0.512227,0.512227
1.02398,0.481806,0.504234,0.504234
1.02797,0.556389,0.549399,0.549399
1.03197,0.610002,0.543205,0.543205
1.03596,0.463225,0.497992,0.497992
1.03996,0.42075,0.435955,0.435955
1.04396,0.42389,0.409577,0.409577
1.04795,0.38409,0.384384,0.384384
1.05195,0.345173,0.339205,0.339205
1.05594,0.288353,0.320407,0.320407
1.05994,0.327694,0.302895,0.302895
1.06394,0.292639,0.219125,0.219125
1.06793,0.0370407,0.0926958,0.0926958
1.07193,-0.0515923,0.0699582,0.0699582
1.07592,0.224426,0.0530277,0.0530277
1.07992,-0.0137509,-0.00248159,-0.00248159
1.08392,-0.21812,-0.0363703,-0.0363703
1.08791,0.12276,-0.0717766,-0.0717766
1.09191,-0.11997,-0.102338,-0.102338
1.0959,-0.309804,-0.142361,-0.142361
1.0999,0.00269206,-0.270061,-0.270061
1.1039,-0.503071,-0.232202,-0.232202
1.10789,-0.196228,-0.268509,-0.268509
1.11189,-0.106228,-0.197846,-0.197846
1.11588,-0.291082,-0.248612,-0.248612
1.11988,-0.348524,-0.393946,-0.393946
1.12388,-0.542231,-0.408775,-0.408775
1.12787,-0.335568,-0.39236,-0.39236
1.13187,-0.29928,-0.359314,-0.359314
1.13586,-0.443094,-0.383736,-0.383736
1.13986,-0.408833,-0.463174,-0.463174
1.14386,-0.537595,-0.487665,-0.487665
1.14785,-0.516569,-0.531256,-0.531256
1.15185,-0.539605,-0.53023,-0.53023
1.15584,-0.534518,-0.521633,-0.521633
1.15984,-0.490775,-0.557931,-0.557931
1.16384,-0.648501,-0.56733,-0.56733
1.16783,-0.562713,-0.626522,-0.626522
1.17183,-0.668352,-0.602516,-0.602516
1.17582,-0.576482,-0.6225,-0.6225
1.17982,-0.622666,-0.65273,-0.65273
1.18382,-0.759043,-0.579613,-0.579613
1.18781,-0.357129,-0.501962,-0.501962
1.19181,-0.389713,-0.392333,-0.392333
1.1958,-0.430157,-0.332645,-0.332645
1.1998,-0.178065,-0.425474,-0.425474
1.2038,-0.6682,-0.499234,-0.499234
1.20779,-0.651438,-0.570893,-0.570893
1.21179,-0.39304,-0.502628,-0.502628
1.21578,-0.463405,-0.392546,-0.392546
1.21978,-0.321194,-0.289155,-0.289155
1.22378,-0.0828654,-0.257923,-0.257923
1.22777,-0.369709,-0.16717,-0.16717
1.23177,-0.0489366,-0.154774,-0.154774
1.23576,-0.0456758,-0.0608046,-0.0608046
