t, ft, filtered ft Array, filtered ft Vector
1,0.518319,0.342226,0.342226
1.004,0.570245,0.43487,0.43487
1.00799,0.732917,0.526942,0.526942
1.01199,0.5741,0.589149,0.589149
1.01598,0.648511,0.565831,0.565831
1.01998,0.644498,0.576062,0.576062
1.02398,0.435454,0.545648,0.545648
1.02797,0.355092,0.527262,0.527262
1.03197,0.64186,0.489312,0.489312
1.03596,0.520022,0.45086,0.45086
1.03996,0.445396,0.433403,0.433403
1.04396,0.382865,0.430094,0.430094
1.04795,0.37533,0.383741,0.383741
1.05195,0.31326,0.345064,0.345064
1.05594,0.331928,0.310535,0.310535
1.05994,0.317386,0.295127,0.295127
1.06394,0.24928,0.252325,0.252325
1.06793,0.203698,0.219875,0.219875
1.07193,0.275009,0.194646,0.194646
1.07592,0.0757152,0.153012,0.153012
1.07992,0.0861124,0.076026,0.076026
1.08392,0.155325,-0.00661218,-0.00661218
1.08791,0.0259418,-0.102463,-0.102463
1.09191,-0.289618,-0.159218,-0.159218
1.0959,-0.37477,-0.241641,-0.241641
1.0999,-0.395944,-0.268915,-0.268915
1.1039,-0.321575,-0.313696,-0.313696
1.10789,-0.490845,-0.317491,-0.317491
1.11189,-0.0355954,-0.295922,-0.295922
1.11588,-0.287522,-0.315157,-0.315157
1.11988,-0.316187,-0.323753,-0.323753
1.12388,-0.223784,-0.333461,-0.333461
1.12787,-0.53059,-0.406489,-0.406489
1.13187,-0.381751,-0.434286,-0.434286
1.13586,-0.558797,-0.465978,-0.465978
1.13986,-0.546794,-0.510985,-0.510985
1.14386,-0.482102,-0.506742,-0.506742
1.14785,-0.538031,-0.528885,-0.528885
1.15185,-0.538832,-0.523172,-0.523172
1.15584,-0.500885,-0.523355,-0.523355
1.15984,-0.536753,-0.521096,-0.521096
1.16384,-0.518809,-0.505598,-0.505598
1.16783,-0.548075,-0.522399,-0.522399
1.17183,-0.466289,-0.53358,-0.53358
1.17582,-0.42954,-0.54504,-0.54504
1.17982,-0.656444,-0.558115,-0.558115
1.18382,-0.579152,-0.569536,-0.569536
1.18781,-0.616969,-0.541347,-0.541347
1.19181,-0.610332,-0.52927,-0.52927
1.1958,-0.628023,-0.507946,-0.507946
1.1998,-0.26897,-0.453276,-0.453276
1.2038,-0.345001,-0.417635,-0.417635
1.20779,-0.507175,-0.386806,-0.386806
1.21179,-0.19646,-0.355799,-0.355799
1.21578,-0.367485,-0.337213,-0.337213
1.21978,-0.394523,-0.297424,-0.297424
1.22378,-0.410979,-0.260649,-0.260649
1.22777,-0.138864,-0.246699,-0.246699
1.23177,-0.0664814,-0.196382,-0.196382
1.23576,-0.249748,-0.144478,-0.144478
1.23976,-0.0988146,-0.0843082,-0.0843082
1.24376,-0.0152664,-0.0535114,-0.0535114
1.24775,-0.0311896,-0.0270605,-0.0270605
1.25175,0.010207,0.0383601,0.0383601
1.25574,0.0767131,0.0603247,0.0603247
1.25974,0.118675,0.0872272,0.0872272
1.26374,0.208196,0.149725,0.149725
1.26773,0.0549375,0.200255,0.200255
1.27173,0.173051,0.222542,0.222542
1.27572,0.406293,0.271044,0.271044
1.27972,0.36392,0.303869,0.303869
1.28372,0.23272,0.322271,0.322271
1.28771,0.458193,0.388485,0.388485
1.29171,0.437969,0.362096,0.362096
1.2957,0.183755,0.363428,0.363428
1.2997,0.636547,0.36502,0.36502
1.3037,0.221568,0.386631,0.386631
1.30769,0.373246,0.424167,0.424167
1.31169,0.243861,0.445131,0.445131
1.31568,0.60947,0.436819,0.436819
1.31968,0.700722,0.474901,0.474901
1.32368,0.330502,0.491206,0.491206
1.32767,0.57836,0.532911,0.532911
1.33167,0.488145,0.520016,0.520016
1.33566,0.487381,0.490718,0.490718
1.33966,0.535797,0.512106,0.512106
1.34366,0.519203,0.499775,0.499775
1.34765,0.495639,0.500935,0.500935
1.35165,0.480218,0.495577,0.495577
1.35564,0.492046,0.475859,0.475859
1.35964,0.49626,0.47337,0.47337
1.36364,0.449875,0.433259,0.433259
1.36763,0.397771,0.401149,0.401149
1.37163,0.50178,0.380784,0.380784
1.37562,0.214863,0.379746,0.379746
1.37962,0.255447,0.323417,0.323417
1.38362,0.34949,0.260518,0.260518
1.38761,0.488992,0.244717,0.244717
1.39161,0.0555746,0.243281,0.243281
1.3956,-0.0425239,0.205434,0.205434
1.3996,0.391179,0.164641,0.164641
1.4036,0.204805,0.107423,0.107423
1.40759,-0.00947694,0.107298,0.107298
1.41159,0.0639377,0.0818801,0.0818801
1.41558,0.0884666,0.00777105,0.00777105
1.41958,0.0546984,-0.0304706,-0.0304706
1.42358,-0.220449,-0.0670855,-0.0670855
1.42757,-0.127585,-0.105088,-0.105088
1.43157,-0.0628865,-0.15303,-0.15303
1.43556,-0.265781,-0.19731,-0.19731
1.43956,-0.202078,-0.209394,-0.209394
1.44356,-0.24713,-0.235637,-0.235637
1.44755,-0.255259,-0.271739,-0.271739
1.45155,-0.305039,-0.277148,-0.277148
1.45554,-0.311289,-0.301399,-0.301399
1.45954,-0.3156,-0.331136,-0.331136
1.46354,-0.303642,-0.357154,-0.357154
1.46753,-0.371834,-0.350502,-0.350502
1.47153,-0.455292,-0.362362,-0.362362
1.47552,-0.437381,-0.412884,-0.412884
1.47952,-0.258479,-0.452499,-0.452499
1.48352,-0.394309,-0.494748,-0.494748
1.48751,-0.669254,-0.481749,-0.481749
1.49151,-0.580942,-0.498216,-0.498216
1.4955,-0.667579,-0.522511,-0.522511
1.4995,-0.364302,-0.54674,-0.54674
1.5035,-0.552646,-0.494259,-0.494259
1.50749,-0.428546,-0.49557,-0.49557
1.51149,-0.563915,-0.481461,-0.481461
1.51548,-0.301885,-0.485498,-0.485498
1.51948,-0.590117,-0.461064,-0.461064
1.52348,-0.568815,-0.466303,-0.466303
1.52747,-0.392561,-0.424325,-0.424325
1.53147,-0.381611,-0.422749,-0.422749
1.53546,-0.46522,-0.378724,-0.378724
1.53946,-0.270064,-0.33554,-0.33554
1.54346,-0.290853,-0.307263,-0.307263
1.54745,-0.281941,-0.273089,-0.273089
1.55145,-0.266532,-0.237989,-0.237989
1.55544,-0.194619,-0.225144,-0.225144
1.55944,-0.142392,-0.192994,-0.192994
1.56344,-0.21952,-0.168588,-0.168588
1.56743,-0.180153,-0.131595,-0.131595
1.57143,-0.0657995,-0.0828537,-0.0828537
1.57542,-0.111103,-0.043382,-0.043382
1.57942,-0.00758023,0.021632,0.021632
1.58342,0.146572,0.0730936,0.0730936
1.58741,0.133909,0.132207,0.132207
1.59141,0.235578,0.190178,0.190178
1.5954,0.180078,0.195148,0.195148
1.5994,0.347996,0.232184,0.232184
1.6034,0.294691,0.236741,0.236741
1.60739,0.0272105,0.241488,0.241488
1.61139,0.405828,0.258527,0.258527
1.61538,0.165802,0.248345,0.248345
1.61938,0.268811,0.259559,0.259559
1.62338,0.299349,0.308514,0.308514
1.62737,0.276724,0.301521,0.301521
1.63137,0.373187,0.330142,0.330142
1.63536,0.369898,0.351335,0.351335
1.63936,0.356874,0.369344,0.369344
1.64336,0.36615,0.387739,0.387739
1.64735,0.417165,0.397052,0.397052
1.65135,0.425411,0.41855,0.41855
1.65534,0.40549,0.444565,0.444565
1.65934,0.438372,0.466408,0.466408
1.66334,0.520387,0.468825,0.468825
1.66733,0.538977,0.492003,0.492003
1.67133,0.519051,0.501035,0.501035
1.67532,0.434085,0.521402,0.521402
1.67932,0.58766,0.524867,0.524867
1.68332,0.468713,0.514554,0.514554
1.68731,0.580944,0.51107,0.51107
1.69131,0.54464,0.472004,0.472004
1.6953,0.466787,0.420257,0.420257
1.6993,0.494658,0.407851,0.407851
1.7033,0.160628,0.364731,0.364731
1.70729,0.225427,0.336834,0.336834
1.71129,0.381874,0.286347,0.286347
1.71528,0.279101,0.257207,0.257207
1.71928,0.349362,0.249621,0.249621
1.72328,0.113379,0.236762,0.236762
1.72727,0.290674,0.192076,0.192076
1.73127,0.10753,0.158691,0.158691
1.73526,0.135414,0.112595,0.112595
1.73926,0.0690736,0.0959597,0.0959597
1.74326,0.0454017,0.0524659,0.0524659
1.74725,0.0266923,0.029724,0.029724
1.75125,-0.00306852,-0.000784914,-0.000784914
1.75524,-0.0137819,-0.0224618,-0.0224618
1.75924,-0.0516627,-0.0449295,-0.0449295
1.76324,-0.0781487,-0.0665334,-0.0665334
1.76723,-0.0826647,-0.0897115,-0.0897115
1.77123,-0.111872,-0.135802,-0.135802
1.77522,-0.124535,-0.168409,-0.168409
1.77922,-0.165316,-0.192415,-0.192415
1.78322,-0.336414,-0.215857,-0.215857
1.78721,-0.279915,-0.254927,-0.254927
1.79121,-0.246189,-0.291498,-0.291498
1.7952,-0.24676,-0.291875,-0.291875
1.7992,-0.385364,-0.281279,-0.281279
1.8032,-0.380531,-0.320509,-0.320509
1.80719,-0.16795,-0.337142,-0.337142
1.81119,-0.262245,-0.346373,-0.346373
1.81518,-0.554527,-0.344414,-0.344414
1.81918,-0.362616,-0.336804,-0.336804
1.82318,-0.31138,-0.371688,-0.371688
1.82717,-0.371648,-0.40013,-0.40013
1.83117,-0.327262,-0.382799,-0.382799
1.83516,-0.412135,-0.384345,-0.384345
1.83916,-0.461342,-0.392441,-0.392441
1.84316,-0.433208,-0.389214,-0.389214
1.84715,-0.373439,-0.389873,-0.389873
1.85115,-0.368054,-0.385708,-0.385708
1.85514,-0.349058,-0.354618,-0.354618
1.85914,-0.331875,-0.321921,-0.321921
1.86314,-0.382982,-0.306698,-0.306698
1.86713,-0.24371,-0.310766,-0.310766
1.87113,-0.204327,-0.273231,-0.273231
1.87512,-0.26688,-0.24428,-0.24428
1.87912,-0.396528,-0.239449,-0.239449
1.88312,-0.0863162,-0.227818,-0.227818
1.88711,-0.129218,-0.208666,-0.208666
1.89111,-0.349162,-0.198913,-0.198913
1.8951,-0.162293,-0.130085,-0.130085
1.8991,-0.0702624,-0.143507,-0.143507
1.9031,-0.198612,-0.10599,-0.10599
1.90709,0.0852685,-0.0567007,-0.0567007
1.91109,-0.180271,-0.0450261,-0.0450261
1.91508,0.133399,-0.0103135,-0.0103135
1.91908,-0.00413441,0.0269957,0.0269957
1.92308,-0.0805702,0.0228758,0.0228758
1.92707,0.172726,0.0727998,0.0727998
1.93107,0.0625526,0.0819404,0.0819404
1.93506,0.056429,0.113314,0.113314
1.93906,0.169197,0.157219,0.157219
1.94306,0.197383,0.172058,0.172058
1.94705,0.21548,0.206264,0.206264
1.95105,0.226764,0.232997,0.232997
1.95504,0.276603,0.242167,0.242167
1.95904,0.301995,0.258763,0.258763
1.96304,0.243561,0.267595,0.267595
1.96703,0.233382,0.271985,0.271985
1.97103,0.313559,0.290141,0.290141
1.97502,0.277305,0.308332,0.308332
1.97902,0.25749,0.315221,0.315221
1.98302,0.403697,0.358412,0.358412
1.98701,0.429335,0.384784,0.384784
1.99101,0.291778,0.386169,0.386169
1.995,0.535721,0.408803,0.408803
1.999,0.498162,0.413397,0.413397
2.003,0.287,0.379841,0.379841
2.00699,0.415925,0.367144,0.367144
2.01099,0.435856,0.351612,0.351612
2.01499,0.194442,0.309103,0.309103
2.01898,0.202902,0.325784,0.325784
2.02298,0.426999,0.29567,0.29567
2.02697,0.200597,0.267059,0.267059
2.03097,0.403768,0.272455,0.272455
2.03497,0.205124,0.27678,0.27678
2.03896,0.235582,0.245652,0.245652
2.04296,0.232214,0.245482,0.245482
2.04695,0.233176,0.209384,0.209384
2.05095,0.209105,0.206387,0.206387
2.05494,0.199405,0.187331,0.187331
2.05894,0.151083,0.166305,0.166305
2.06294,0.184144,0.144117,0.144117
2.06693,0.10219,0.100889,0.100889
2.07093,0.0850333,0.0691462,0.0691462
