t, ft, filtered ft Array, filtered ft Vector
1.50749,-0.479611,-0.404433,-0.404433
1.51149,-0.413562,-0.402967,-0.402967
1.51548,-0.649989,-0.397011,-0.397011
1.51948,-0.499342,-0.390433,-0.390433
1.52348,-0.283105,-0.37275,-0.37275
1.52747,-0.437942,-0.363292,-0.363292
1.53147,-0.308771,-0.345442,-0.345442
1.53546,-0.358852,-0.33797,-0.33797
1.53946,-0.297824,-0.30692,-0.30692
1.54346,-0.330993,-0.274594,-0.274594
1.54745,-0.287599,-0.268152,-0.268152
1.55145,-0.253169,-0.246887,-0.246887
1.55544,-0.262384,-0.226128,-0.226128
1.55944,-0.200994,-0.19055,-0.19055
1.56344,-0.254581,-0.156551,-0.156551
1.56743,-0.0905302,-0.137225,-0.137225
1.57143,-0.110692,-0.0992481,-0.0992481
1.57542,-0.198208,-0.0742602,-0.0742602
1.57942,0.0601386,-0.0383806,-0.0383806
1.58342,0.18362,-0.00544962,-0.00544962
1.58741,-0.156801,0.0205924,0.0205924
1.59141,-0.0330559,0.0550397,0.0550397
1.5954,0.0223895,0.0833719,0.0833719
1.5994,0.0971394,0.116002,0.116002
1.6034,0.214637,0.144425,0.144425
1.60739,0.122742,0.176049,0.176049
1.61139,0.359578,0.200738,0.200738
1.61538,0.215975,0.22637,0.22637
1.61938,0.394619,0.256937,0.256937
1.62338,0.393727,0.277172,0.277172
1.62737,0.215889,0.287436,0.287436
1.63137,0.435795,0.311624,0.311624
1.63536,0.341808,0.329396,0.329396
1.63936,0.42284,0.349548,0.349548
1.64336,0.395897,0.369343,0.369343
1.64735,0.409529,0.38651,0.38651
1.65135,0.427938,0.39206,0.39206
1.65534,0.427567,0.383165,0.383165
1.65934,0.443713,0.386429,0.386429
1.66334,0.485065,0.382539,0.382539
1.66733,0.399171,0.383982,0.383982
1.67133,0.351137,0.383004,0.383004
1.67532,0.340161,0.372164,0.372164
1.67932,0.445584,0.360914,0.360914
1.68332,0.512831,0.350417,0.350417
1.68731,0.575145,0.335261,0.335261
1.69131,0.239292,0.32004,0.32004
1.6953,0.172785,0.309051,0.309051
1.6993,0.284507,0.293988,0.293988
1.7033,0.312946,0.277244,0.277244
1.70729,0.424019,0.255093,0.255093
1.71129,0.195345,0.235787,0.235787
1.71528,0.208161,0.215592,0.215592
1.71928,0.105561,0.194133,0.194133
1.72328,0.202409,0.170883,0.170883
1.72727,0.0776097,0.137736,0.137736
1.73127,0.0898937,0.0971918,0.0971918
1.73526,0.197166,0.0734967,0.0734967
1.73926,0.111242,0.0593997,0.0593997
1.74326,0.0920993,0.031646,0.031646
1.74725,0.0198849,0.0129347,0.0129347
1.75125,-0.00625094,-0.0253998,-0.0253998
1.75524,-0.0729619,-0.0522012,-0.0522012
1.75924,-0.110484,-0.0756305,-0.0756305
1.76324,-0.0426539,-0.103313,-0.103313
1.76723,-0.183264,-0.136968,-0.136968
1.77123,-0.276278,-0.165788,-0.165788
1.77522,-0.258306,-0.190752,-0.190752
1.77922,-0.12325,-0.214309,-0.214309
1.78322,-0.29832,-0.243542,-0.243542
1.78721,-0.0799912,-0.263693,-0.263693
1.79121,-0.381007,-0.283436,-0.283436
1.7952,-0.367484,-0.302721,-0.302721
1.7992,-0.283853,-0.317431,-0.317431
1.8032,-0.475769,-0.328868,-0.328868
1.80719,-0.504343,-0.34437,-0.34437
1.81119,-0.52761,-0.353133,-0.353133
