ts, time, num_ions, ion Current, num_electrons, elec Current
Avg KE Electrons,0.14896, Avg KE Ions,0.00432603,,
10700,1.07e-06,190269,0.312424,189429,0.616838
10800,1.08e-06,190233,0.288392,189400,0.232316
10900,1.09e-06,190198,0.280381,189366,0.27237
11000,1.1e-06,190172,0.208283,189306,0.480653
11100,1.11e-06,190139,0.264359,189258,0.384522
11200,1.12e-06,190118,0.168229,189216,0.336457
11300,1.13e-06,190096,0.176239,189165,0.408555
11400,1.14e-06,190064,0.256348,189096,0.552751
11500,1.15e-06,190025,0.312424,189013,0.664903
11600,1.16e-06,190001,0.192261,188939,0.592805
11700,1.17e-06,189973,0.224305,188865,0.592805
11800,1.18e-06,189939,0.27237,188782,0.664903
11900,1.19e-06,189896,0.344468,188718,0.512697
12000,1.2e-06,189867,0.232316,188638,0.640871
12100,1.21e-06,189837,0.240326,188592,0.368501
12200,1.22e-06,189814,0.18425,188565,0.216294
12300,1.23e-06,189784,0.240326,188505,0.480653
12400,1.24e-06,189752,0.256348,188458,0.376511
12500,1.25e-06,189710,0.336457,188399,0.472642
12600,1.26e-06,189665,0.36049,188348,0.408555
12700,1.27e-06,189623,0.336457,188305,0.344468
12800,1.28e-06,189583,0.320435,188268,0.296403
12900,1.29e-06,189528,0.440599,188212,0.448609
13000,1.3e-06,189482,0.368501,188137,0.600816
13100,1.31e-06,189449,0.264359,188092,0.36049
13200,1.32e-06,189404,0.36049,188028,0.512697
13300,1.33e-06,189358,0.368501,187972,0.448609
13400,1.34e-06,189304,0.432588,187922,0.400544
13500,1.35e-06,189252,0.416566,187876,0.368501
13600,1.36e-06,189209,0.344468,187841,0.280381
13700,1.37e-06,189159,0.400544,187803,0.304414
13800,1.38e-06,189109,0.400544,187748,0.440599
13900,1.39e-06,189054,0.440599,187683,0.520707
14000,1.4e-06,188994,0.480653,187635,0.384522
14100,1.41e-06,188938,0.448609,187565,0.560762
14200,1.42e-06,188892,0.368501,187514,0.408555
14300,1.43e-06,188830,0.496675,187476,0.304414
14400,1.44e-06,188769,0.488664,187423,0.424577
14500,1.45e-06,188721,0.384522,187377,0.368501
14600,1.46e-06,188668,0.424577,187341,0.288392
14700,1.47e-06,188617,0.408555,187287,0.432588
14800,1.48e-06,188553,0.512697,187244,0.344468
14900,1.49e-06,188495,0.464631,187187,0.45662
15000,1.5e-06,188444,0.408555,187159,0.224305
15100,1.51e-06,188392,0.416566,187115,0.352479
15200,1.52e-06,188325,0.536729,187059,0.448609
15300,1.53e-06,188274,0.408555,186994,0.520707
15400,1.54e-06,188214,0.480653,186947,0.376511
15500,1.55e-06,188162,0.416566,186916,0.248337
15600,1.56e-06,188100,0.496675,186880,0.288392
15700,1.57e-06,188033,0.536729,186815,0.520707
15800,1.58e-06,187980,0.424577,186739,0.608827
15900,1.59e-06,187913,0.536729,186666,0.584794
16000,1.6e-06,187855,0.464631,186605,0.488664
16100,1.61e-06,187800,0.440599,186561,0.352479
16200,1.62e-06,187725,0.600816,186524,0.296403
16300,1.63e-06,187654,0.568773,186457,0.536729
16400,1.64e-06,187605,0.392533,186412,0.36049
16500,1.65e-06,187550,0.440599,186350,0.496675
16600,1.66e-06,187501,0.392533,186280,0.560762
16700,1.67e-06,187444,0.45662,186219,0.488664
16800,1.68e-06,187395,0.392533,186182,0.296403
16900,1.69e-06,187339,0.448609,186136,0.368501
17000,1.7e-06,187282,0.45662,186081,0.440599
17100,1.71e-06,187216,0.528718,186046,0.280381
17200,1.72e-06,187162,0.432588,186005,0.328446
17300,1.73e-06,187103,0.472642,185953,0.416566
17400,1.74e-06,187057,0.368501,185906,0.376511
17500,1.75e-06,187007,0.400544,185847,0.472642
17600,1.76e-06,186966,0.328446,185779,0.54474
17700,1.77e-06,186922,0.352479,185717,0.496675
17800,1.78e-06,186870,0.416566,185654,0.504686
17900,1.79e-06,186813,0.45662,185586,0.54474
18000,1.8e-06,186752,0.488664,185539,0.376511
18100,1.81e-06,186705,0.376511,185482,0.45662
18200,1.82e-06,186646,0.472642,185445,0.296403
18300,1.83e-06,186586,0.480653,185408,0.296403
18400,1.84e-06,186537,0.392533,185339,0.552751
18500,1.85e-06,186496,0.328446,185275,0.512697
18600,1.86e-06,186451,0.36049,185242,0.264359
18700,1.87e-06,186413,0.304414,185189,0.424577
18800,1.88e-06,186361,0.416566,185156,0.264359
18900,1.89e-06,186301,0.480653,185108,0.384522
19000,1.9e-06,186245,0.448609,185080,0.224305
19100,1.91e-06,186196,0.392533,185029,0.408555
19200,1.92e-06,186156,0.320435,185004,0.200272
19300,1.93e-06,186110,0.368501,184960,0.352479
19400,1.94e-06,186066,0.352479,184905,0.440599
19500,1.95e-06,186015,0.408555,184862,0.344468
19600,1.96e-06,185963,0.416566,184815,0.376511
19700,1.97e-06,185914,0.392533,184760,0.440599
19800,1.98e-06,185846,0.54474,184715,0.36049
19900,1.99e-06,185795,0.408555,184675,0.320435
20000,2e-06,185757,0.304414,184616,0.472642
20100,2.01e-06,185723,0.27237,184576,0.320435
20200,2.02e-06,185678,0.36049,184522,0.432588
20300,2.03e-06,185625,0.424577,184484,0.304414
20400,2.04e-06,185573,0.416566,184448,0.288392
20500,2.05e-06,185521,0.416566,184412,0.288392
20600,2.06e-06,185466,0.440599,184358,0.432588
20700,2.07e-06,185415,0.408555,184316,0.336457
20800,2.08e-06,185373,0.336457,184278,0.304414
20900,2.09e-06,185326,0.376511,184221,0.45662
21000,2.1e-06,185290,0.288392,184167,0.432588
21100,2.11e-06,185240,0.400544,184120,0.376511
21200,2.12e-06,185193,0.376511,184073,0.376511
21300,2.13e-06,185143,0.400544,184010,0.504686
21400,2.14e-06,185107,0.288392,183976,0.27237
21500,2.15e-06,185050,0.45662,183919,0.45662
21600,2.16e-06,184996,0.432588,183873,0.368501
21700,2.17e-06,184952,0.352479,183830,0.344468
